functional group	relationtype	taxa	taxa_original	taxalevel	reference
acetoclastic_methanogenesis	annotation	acetoclastic_methanogenesis	acetoclastic_methanogenesis	annotation	elements:C,H; main_element:C; electron_donor:none; electron_acceptor:none; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
chemoheterotrophy	annotation	add_group:acetoclastic_methanogenesis	add_group:acetoclastic_methanogenesis	annotation	
methanogenesis	annotation	add_group:acetoclastic_methanogenesis	add_group:acetoclastic_methanogenesis	annotation	
nitrification	annotation	add_group:aerobic_ammonia_oxidation	add_group:aerobic_ammonia_oxidation	annotation	
photoheterotrophy	annotation	add_group:aerobic_anoxygenic_phototrophy	add_group:aerobic_anoxygenic_phototrophy	annotation	
chemoheterotrophy	annotation	add_group:aerobic_chemoheterotrophy	add_group:aerobic_chemoheterotrophy	annotation	
nitrification	annotation	add_group:aerobic_nitrite_oxidation	add_group:aerobic_nitrite_oxidation	annotation	
hydrocarbon_degradation	annotation	add_group:aliphatic_non_methane_hydrocarbon_degradation	add_group:aliphatic_non_methane_hydrocarbon_degradation	annotation	
nitrite_respiration	annotation	add_group:anammox	add_group:anammox	annotation	
nitrogen_respiration	annotation	add_group:anammox	add_group:anammox	annotation	
photoautotrophy	annotation	add_group:anoxygenic_photoautotrophy	add_group:anoxygenic_photoautotrophy	annotation	
anoxygenic_photoautotrophy	annotation	add_group:anoxygenic_photoautotrophy_Fe_oxidizing	add_group:anoxygenic_photoautotrophy_Fe_oxidizing	annotation	
anoxygenic_photoautotrophy	annotation	add_group:anoxygenic_photoautotrophy_H2_oxidizing	add_group:anoxygenic_photoautotrophy_H2_oxidizing	annotation	
anoxygenic_photoautotrophy	annotation	add_group:anoxygenic_photoautotrophy_S_oxidizing	add_group:anoxygenic_photoautotrophy_S_oxidizing	annotation	
chemoheterotrophy	annotation	add_group:aromatic_compound_degradation	add_group:aromatic_compound_degradation	annotation	
aromatic_compound_degradation	annotation	add_group:aromatic_hydrocarbon_degradation	add_group:aromatic_hydrocarbon_degradation	annotation	
hydrocarbon_degradation	annotation	add_group:aromatic_hydrocarbon_degradation	add_group:aromatic_hydrocarbon_degradation	annotation	
dissimilatory_arsenate_reduction	annotation	add_group:arsenate_detoxification	add_group:arsenate_detoxification	annotation	
dissimilatory_arsenate_reduction	annotation	add_group:arsenate_respiration	add_group:arsenate_respiration	annotation	
dissimilatory_arsenite_oxidation	annotation	add_group:arsenite_oxidation_detoxification	add_group:arsenite_oxidation_detoxification	annotation	
dissimilatory_arsenite_oxidation	annotation	add_group:arsenite_oxidation_energy_yielding	add_group:arsenite_oxidation_energy_yielding	annotation	
chemoheterotrophy	annotation	add_group:cellulolysis	add_group:cellulolysis	annotation	
chemoheterotrophy	annotation	add_group:chitinolysis	add_group:chitinolysis	annotation	
oxygenic_photoautotrophy	annotation	add_group:cyanobacteria	add_group:cyanobacteria	annotation	
dark_oxidation_of_sulfur_compounds	annotation	add_group:dark_sulfide_oxidation	add_group:dark_sulfide_oxidation	annotation	
dark_oxidation_of_sulfur_compounds	annotation	add_group:dark_sulfur_oxidation	add_group:dark_sulfur_oxidation	annotation	
dark_oxidation_of_sulfur_compounds	annotation	add_group:dark_thiosulfate_oxidation	add_group:dark_thiosulfate_oxidation	annotation	
nitrogen_respiration	annotation	add_group:denitrification	add_group:denitrification	annotation	
chemoheterotrophy	annotation	add_group:fermentation	add_group:fermentation	annotation	
animal_parasites_or_symbionts	annotation	add_group:fish_parasites	add_group:fish_parasites	annotation	
animal_parasites_or_symbionts	annotation	add_group:human_gut	add_group:human_gut	annotation	
mammal_gut	annotation	add_group:human_gut	add_group:human_gut	annotation	
animal_parasites_or_symbionts	annotation	add_group:human_pathogens_all	add_group:human_pathogens_all	annotation	
human_pathogens_all	annotation	add_group:human_pathogens_diarrhea	add_group:human_pathogens_diarrhea	annotation	
human_pathogens_all	annotation	add_group:human_pathogens_gastroenteritis	add_group:human_pathogens_gastroenteritis	annotation	
human_pathogens_all	annotation	add_group:human_pathogens_meningitis	add_group:human_pathogens_meningitis	annotation	
human_pathogens_all	annotation	add_group:human_pathogens_nosocomia	add_group:human_pathogens_nosocomia	annotation	
human_pathogens_all	annotation	add_group:human_pathogens_pneumonia	add_group:human_pathogens_pneumonia	annotation	
human_pathogens_all	annotation	add_group:human_pathogens_septicemia	add_group:human_pathogens_septicemia	annotation	
chemoheterotrophy	annotation	add_group:hydrocarbon_degradation	add_group:hydrocarbon_degradation	annotation	
methanogenesis	annotation	add_group:hydrogenotrophic_methanogenesis	add_group:hydrogenotrophic_methanogenesis	annotation	
animal_parasites_or_symbionts	annotation	add_group:invertebrate_parasites	add_group:invertebrate_parasites	annotation	
dark_hydrogen_oxidation	annotation	add_group:knallgas_bacteria	add_group:knallgas_bacteria	annotation	
chemoheterotrophy	annotation	add_group:ligninolysis	add_group:ligninolysis	annotation	
hydrogenotrophic_methanogenesis	annotation	add_group:methanogenesis_by_CO2_reduction_with_H2	add_group:methanogenesis_by_CO2_reduction_with_H2	annotation	
methanogenesis	annotation	add_group:methanogenesis_by_CO2_reduction_with_H2	add_group:methanogenesis_by_CO2_reduction_with_H2	annotation	
chemoheterotrophy	annotation	add_group:methanogenesis_by_disproportionation_of_methyl_groups	add_group:methanogenesis_by_disproportionation_of_methyl_groups	annotation	
methanogenesis	annotation	add_group:methanogenesis_by_disproportionation_of_methyl_groups	add_group:methanogenesis_by_disproportionation_of_methyl_groups	annotation	
hydrogenotrophic_methanogenesis	annotation	add_group:methanogenesis_by_reduction_of_methyl_compounds_with_H2	add_group:methanogenesis_by_reduction_of_methyl_compounds_with_H2	annotation	
methanogenesis	annotation	add_group:methanogenesis_by_reduction_of_methyl_compounds_with_H2	add_group:methanogenesis_by_reduction_of_methyl_compounds_with_H2	annotation	
chemoheterotrophy	annotation	add_group:methanogenesis_using_formate	add_group:methanogenesis_using_formate	annotation	
methanogenesis	annotation	add_group:methanogenesis_using_formate	add_group:methanogenesis_using_formate	annotation	
methylotrophy	annotation	add_group:methanol_oxidation	add_group:methanol_oxidation	annotation	
hydrocarbon_degradation	annotation	add_group:methanotrophy	add_group:methanotrophy	annotation	
methylotrophy	annotation	add_group:methanotrophy	add_group:methanotrophy	annotation	
