faprotax_taxa	ncbi_taxa	rank
Acetitomaculum ruminis	Acetitomaculum ruminis	species
Acetivibrio alkalicellulosi	Acetivibrio alkalicellulosi	species
Acetivibrio cellulolyticus	Acetivibrio cellulolyticus	species
Acetoanaerobium noterae	Acetoanaerobium noterae	species
Acetobacter pasteurianus	Acetobacter pasteurianus	species
Acetobacterium malicum	Acetobacterium malicum	species
Acetobacterium woodii	Acetobacterium woodii	species
Acetohalobium arabaticum	Acetohalobium arabaticum	species
Acetomicrobium	Acetomicrobium	genus
Acetonema longum	Acetonema longum	species
Achromobacter arsenitoxydans	Achromobacter arsenitoxydans	species
Achromobacter denitrificans	Achromobacter denitrificans	species
Achromobacter piechaudii	Achromobacter piechaudii	species
Achromobacter ruhlandii	Achromobacter ruhlandii	species
Achromobacter xylosoxidans	Achromobacter xylosoxidans	species
Acidaminococcus fermentans	Acidaminococcus fermentans	species
Acidianus ambivalens	Acidianus ambivalens	species
Acidianus brierleyi	Acidianus brierleyi	species
Acidianus manzaensis	Acidianus manzaensis	species
Acidianus sulfidivorans	Acidianus sulfidivorans	species
Acidiferrobacter thiooxydans	Acidiferrobacter thiooxydans	species
Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans	species
Acidiphilium acidophilum	Acidiphilium acidophilum	species
Acidiphilium angustum	Acidiphilium angustum	species
Acidiphilium cryptum	Acidiphilium cryptum	species
Acidiphilium cryptum JF-5	Acidiphilium cryptum JF-5	species
Acidiphilium multivorum	Acidiphilium multivorum	species
Acidiphilium organovorum	Acidiphilium organovorum	species
Acidiphilium rubrum	Acidiphilium rubrum	species
Acidiplasma aeolicum	Acidiplasma aeolicum	species
Acidisoma sibiricum	Acidisoma sibiricum	species
Acidisphaera rubrifaciens	Acidisphaera rubrifaciens	species
Aciditerrimonas ferrireducens	Aciditerrimonas ferrireducens	species
Acidithiobacillus ferrivorans	Acidithiobacillus ferrivorans	species
Acidithiobacillus ferrooxidans	Acidithiobacillus ferrooxidans	species
Acidithiobacillus thiooxidans	Acidithiobacillus thiooxidans	species
Acidithiomicrobium sp. P1	Acidithiomicrobium sp. P1	species
Acidithiomicrobium sp. P2	Acidithiomicrobium sp. P2	species
Acidobacterium	Acidobacterium	genus
Acidobacterium capsulatum	Acidobacterium capsulatum	species
Acidothermus cellulolyticus	Acidothermus cellulolyticus	species
Acidovorax anthurii	Acidovorax anthurii	species
Acidovorax avenae	Acidovorax avenae	species
Acidovorax delafieldii	Acidovorax delafieldii	species
Acidovorax ebreus	Acidovorax ebreus	species
Acidovorax facilis	Acidovorax facilis	species
Acidovorax konjaci	Acidovorax konjaci	species
Acidovorax temperans	Acidovorax temperans	species
Acidovorax valerianellae	Acidovorax valerianellae	species
Acinetobacter baumannii	Acinetobacter baumannii	species
Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	species
Acinetobacter junii	Acinetobacter junii	species
Acinetobacter lwoffii	Acinetobacter lwoffii	species
Acinetobacter nosocomialis	Acinetobacter nosocomialis	species
Acinetobacter pittii	Acinetobacter pittii	species
Acinetobacter radioresistens	Acinetobacter radioresistens	species
Acrocarpospora pleiomorpha	Acrocarpospora pleiomorpha	species
Actinoallomurus liliacearum	Actinoallomurus liliacearum	species
Actinoallomurus oryzae	Actinoallomurus oryzae	species
Actinoallomurus vinaceus	Actinoallomurus vinaceus	species
Actinobacillus equuli	Actinobacillus equuli	species
Actinobacillus lignieresii	Actinobacillus lignieresii	species
Actinobacillus scotiae	Actinobacillus scotiae	species
Actinobacillus seminis	Actinobacillus seminis	species
Actinobacillus suis	Actinobacillus suis	species
Actinobaculum suis	Actinobaculum suis	species
Actinocatenispora sera	Actinocatenispora sera	species
Actinocatenispora thailandica	Actinocatenispora thailandica	species
Actinocorallia aurea	Actinocorallia aurea	species
Actinocorallia cavernae	Actinocorallia cavernae	species
Actinocorallia libanotica	Actinocorallia libanotica	species
Actinomadura atramentaria	Actinomadura atramentaria	species
Actinomadura glauciflava	Actinomadura glauciflava	species
Actinomadura pelletieri	Actinomadura pelletieri	species
Actinomadura rudentiformis	Actinomadura rudentiformis	species
Actinomadura viridilutea	Actinomadura viridilutea	species
Actinoplanes couchii	Actinoplanes couchii	species
Actinoplanes sichuanensis	Actinoplanes sichuanensis	species
Actinoplanes xinjiangensis	Actinoplanes xinjiangensis	species
Actinopolymorpha cephalotaxi	Actinopolymorpha cephalotaxi	species
Actinopolymorpha pittospori	Actinopolymorpha pittospori	species
Actinopolymorpha singaporensis	Actinopolymorpha singaporensis	species
Actinopolyspora mortivallis	Actinopolyspora mortivallis	species
Actinosynnema mirum	Actinosynnema mirum	species
Actinosynnema pretiosum	Actinosynnema pretiosum	species
Actinotalea fermentans	Actinotalea fermentans	species
Aequorivita	Aequorivita	genus
Aeriscardovia aeriphila	Aeriscardovia aeriphila	species
Aerococcus	Aerococcus	genus
Aeromicrobium ginsengisoli	Aeromicrobium ginsengisoli	species
Aeromicrobium ponti	Aeromicrobium ponti	species
Aeromonas caviae	Aeromonas caviae	species
Aeromonas encheleia	Aeromonas encheleia	species
Aeromonas enteropelogenes	Aeromonas enteropelogenes	species
Aeromonas hydrophila	Aeromonas hydrophila	species
Afipia felis	Afipia felis	species
Agaricus bisporus	Agaricus bisporus	species
Agreia pratensis	Agreia pratensis	species
Agrobacterium albertimagni	Agrobacterium albertimagni	species
Agrobacterium larrymoorei	Agrobacterium larrymoorei	species
Agrobacterium rhizogenes	Agrobacterium rhizogenes	species
Agrobacterium rubi	Agrobacterium rubi	species
Agrobacterium tumefaciens	Agrobacterium tumefaciens	species
Agrobacterium vitis	Agrobacterium vitis	species
Agrococcus baldri	Agrococcus baldri	species
Agrococcus casei	Agrococcus casei	species
Agrococcus citreus	Agrococcus citreus	species
Agrococcus jejuensis	Agrococcus jejuensis	species
Agrococcus jenensis	Agrococcus jenensis	species
Agrococcus lahaulensis	Agrococcus lahaulensis	species
Agrococcus versicolor	Agrococcus versicolor	species
Agromyces cerinus	Agromyces cerinus	species
Agromyces ulmi	Agromyces ulmi	species
Alcaligenes faecalis	Alcaligenes faecalis	species
Alcanivoracaceae	Alcanivoracaceae	family
Alcanivorax borkumensis	Alcanivorax borkumensis	species
Alcanivorax jadensis	Alcanivorax jadensis	species
Algiphilus aromaticivorans	Algiphilus aromaticivorans	species
Algisphaera agarilytica	Algisphaera agarilytica	species
Alicycliphilus denitrificans	Alicycliphilus denitrificans	species
Alicyclobacillus disulfidooxidans	Alicyclobacillus disulfidooxidans	species
Alicyclobacillus herbarius	Alicyclobacillus herbarius	species
Alicyclobacillus sendaiensis	Alicyclobacillus sendaiensis	species
Alicyclobacillus tolerans	Alicyclobacillus tolerans	species
Aliivibrio finisterrensis	Aliivibrio finisterrensis	species
Alistipes indistinctus	Alistipes indistinctus	species
Alistipes onderdonkii	Alistipes onderdonkii	species
