microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
arrA	NA	1.20.99.1	NA	respiratory arsenate reductase large subunit	NA
arrB	NA	1.20.99.1	NA	respiratory arsenate reductase small subunit	NA
serA	K17050	1.97.1.9;1.97.1.1	NA	selenate/chlorate reductase subunit alpha [EC:1.97.1.9 1.97.1.1]	NA
serB	K17051	1.97.1.9;1.97.1.1	NA	selenate/chlorate reductase subunit beta [EC:1.97.1.9 1.97.1.1]	NA
serC	K17052	1.97.1.9;1.97.1.1	NA	selenate/chlorate reductase subunit gamma [EC:1.97.1.9 1.97.1.1]	NA
mtrA	NA	NA	NA	extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA	NA
mtrB	NA	NA	NA	extracellular iron oxide respiratory system outer membrane component 	NA
mtrC	NA	NA	NA	extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC	NA
mtrD	NA	NA	NA	extracellular respiratory system periplasmic decaheme cytochrome c component MtrD	NA
mtrE	NA	NA	NA	extracellular respiratory sytem outer membrane component MtrE	NA
mtrF	NA	NA	NA	extracellular respiratory system surface decaheme cytochrome c component MtrF	NA
omcA	NA	NA	NA	extracelllular iron oxide respiratory system surface decaheme cytochrome c component OmcA	NA
pioA	NA	NA	NA	photosynthetic Fe(II)-oxidation, periplasmic decaheme c-type cytochrome	NA
pioB	NA	NA	NA	photosynthetic Fe(II)-oxidation, outer membrane beta-barrel protein	NA
pioC	NA	NA	NA	photosynthetic Fe(II)-oxidation, periplasmic high potential iron–sulfur cluster protein	NA
foxE	NA	NA	NA	c-type cytochrome	NA
foxY	NA	NA	NA	redox cofactor pyrroloquinoline quinone	NA
foxZ	NA	NA	NA	cytoplasmic membrane protein with transport function	NA
cyc2	NA	NA	NA	outer membrane cytochrome c putative Fe(II) oxidase	NA
prk	K00855	2.7.1.19	NA	phosphoribulokinase [EC:2.7.1.19] 	NA
rbcS	K01602	4.1.1.39	NA	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39] 	NA
rbcL	K01601	4.1.1.39	NA	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] 	NA
pgk	K00927	2.7.2.3	NA	phosphoglycerate kinase [EC:2.7.2.3] 	NA
gapA.NAD+	K00134	1.2.1.12	NA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	NA
gapA.NADP+	K00150	1.2.1.59	NA	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59] 	NA
aldo.classI-1	K01623	4.1.2.13	NA	fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	NA
aldo.classI-2	K11645	4.1.2.13	NA	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	NA
aldo.classII	K01624	4.1.2.13	NA	fructose-bisphosphate aldolase, class II [EC:4.1.2.13] 	NA
fbpI	K03841	3.1.3.11	NA	fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	NA
fbpII	K02446	3.1.3.11	NA	fructose-1,6-bisphosphatase II [EC:3.1.3.11] 	NA
fbpIII	K04041	3.1.3.11	NA	fructose-1,6-bisphosphatase III [EC:3.1.3.11] 	NA
fbpI-sebp	K01086	3.1.3.11;3.1.3.37	NA	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 	NA
fbpII-sebp	K11532	3.1.3.11;3.1.3.37	NA	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 	NA
rpiA	K01807	5.3.1.6	NA	ribose 5-phosphate isomerase A [EC:5.3.1.6] 	NA
rpiB	K01808	5.3.1.6	NA	ribose 5-phosphate isomerase B [EC:5.3.1.6] 	NA
tpi	K01803	5.3.1.1	NA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	NA
tkt	K00615	2.2.1.1	NA	transketolase [EC:2.2.1.1] 	NA
porA	K00169	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] 	NA
porB	K00170	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] 	NA
porD	K00171	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] 	NA
porG	K00172	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] 	NA
aclA	K15230	2.3.3.8	NA	ATP-citrate lyase alpha-subunit [EC:2.3.3.8] 	NA
aclB	K15231	2.3.3.8	NA	ATP-citrate lyase beta-subunit [EC:2.3.3.8] 	NA
ppc	K01595	4.1.1.31	NA	phosphoenolpyruvate carboxylase [EC:4.1.1.31] 	NA
mdh	K00024	1.1.1.37	NA	malate dehydrogenase [EC:1.1.1.37] 	NA
fumI	K01676	4.2.1.2	NA	fumarate hydratase, class I [EC:4.2.1.2] 	NA
fumalpha	K01677	4.2.1.2	NA	fumarate hydratase subunit alpha [EC:4.2.1.2] 	NA
fumbeta	K01678	4.2.1.2	NA	fumarate hydratase subunit beta [EC:4.2.1.2] 	NA
fumII	K01679	4.2.1.2	NA	fumarate hydratase, class II [EC:4.2.1.2] 	NA
frd.NADHA	K18556	1.3.1.6	NA	NADH-dependent fumarate reductase subunit A [EC:1.3.1.6] 	NA
frd.NADHB	K18557	1.3.1.6	NA	NADH-dependent fumarate reductase subunit B [EC:1.3.1.6] 	NA
frd.NADHC	K18558	NA	NA	NADH-dependent fumarate reductase subunit C 	NA
frd.NADHD	K18559	NA	NA	NADH-dependent fumarate reductase subunit D 	NA
frd.NADHE	K18560	NA	NA	NADH-dependent fumarate reductase subunit E 	NA
sdhA	K00239	1.3.5.1;1.3.5.4	NA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] 	NA
sdhB	K00240	1.3.5.1;1.3.5.4	NA	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] 	NA
sdhC	K00241	NA	NA	succinate dehydrogenase / fumarate reductase, cytochrome b subunit 	NA
sdhD	K00242	NA	NA	succinate dehydrogenase / fumarate reductase, membrane anchor subunit 	NA
frdA	K00244	1.3.5.4	NA	fumarate reductase flavoprotein subunit [EC:1.3.5.4] 	NA
frdB	K00245	1.3.5.4	NA	fumarate reductase iron-sulfur subunit [EC:1.3.5.4] 	NA
frdC	K00246	NA	NA	fumarate reductase subunit C 	NA
frdD	K00247	NA	NA	fumarate reductase subunit D 	NA
sdhD_arch1	K18859	NA	NA	sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D 	NA
sdhD_arch2	K18860	NA	NA	sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D	NA
sucC	K01903	6.2.1.5	NA	succinyl-CoA synthetase beta subunit [EC:6.2.1.5] 	NA
sucD	K01902	6.2.1.5	NA	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] 	NA
oforA	K00174	1.2.7.3;1.2.7.11	NA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	NA
oforB	K00175	1.2.7.3;1.2.7.11	NA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	NA
oforC	K00177	1.2.7.3	NA	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] 	NA
oforD	K00176	1.2.7.3	NA	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] 	NA
icd	K00031	1.1.1.42	NA	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42] 	NA
acnA	K01681	4.2.1.3	NA	aconitate hydratase [EC:4.2.1.3] 	NA
acnB	K01682	4.2.1.3;4.2.1.99	NA	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] 	NA
ppdK	K01006	2.7.9.1	NA	pyruvate, orthophosphate dikinase [EC:2.7.9.1] 	NA
smtA	K14471	2.8.3.22	NA	succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22] 	NA
smtB	K14472	2.8.3.22	NA	succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22] 	NA
mcl	K08691	4.1.3.24;4.1.3.25	NA	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25] 	NA
bccP	K02160	NA	NA	acetyl-CoA carboxylase biotin carboxyl carrier protein 	NA
accC	K01961	6.4.1.2;6.3.4.14	NA	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] 	NA
accA	K01962	6.4.1.2;2.1.3.15	NA	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] 	NA
accD	K01963	6.4.1.2;2.1.3.15	NA	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15] 	NA
pcc1	K15036	6.4.1.2;6.4.1.3;2.1.3.15	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] 	NA
pcc2	K15037	NA	NA	biotin carboxyl carrier protein 	NA
pcc3	K18604	6.4.1.2;6.4.1.3;2.1.3.15	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] 	NA
pcc4	K18605	NA	NA	biotin carboxyl carrier protein 	NA
pcc5	K18603	6.4.1.2;6.4.1.3	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] 	NA
pcc6	K01964	6.4.1.2;6.4.1.3	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] 	NA
mcr	K14468	1.2.1.75;1.1.1.298	NA	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298] 	NA
asd1	K15017	1.2.1.75;1.2.1.76	NA	malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76] 	NA
hpd	K15039	1.1.1.298	NA	3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298] 	NA
hys	K15018	6.2.1.36	NA	3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36] 	NA
acr-hydt	K14469	1.3.1.84;4.2.1.116;6.2.1.36	NA	acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]	NA
hydt	K15019	4.2.1.116	NA	3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116] 	NA
acr	K15020	1.3.1.84	NA	acryloyl-coenzyme A reductase [EC:1.3.1.84] 	NA
epi	K05606	5.1.99.1	NA	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] 	NA
mut	K01847	5.4.99.2	NA	methylmalonyl-CoA mutase [EC:5.4.99.2] 	NA
mfch	K14449	4.2.1.148	NA	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 	NA
mct	K14470	5.4.1.3	NA	2-methylfumaryl-CoA isomerase [EC:5.4.1.3] 	NA
meh	K09709	4.2.1.153	NA	3-methylfumaryl-CoA hydratase [EC:4.2.1.153] 	NA
cdhA	K00192	1.2.7.4	NA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] 	NA
cdhB	K00195	NA	NA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon 	NA
cooF	K00196	NA	NA	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit 	NA
cooS	K00198	1.2.7.4	NA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] 	NA
fdh.NADP+A	K05299	1.17.1.10	NA	formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10] 	NA
fdh.NADP+B	K15022	1.17.1.10	NA	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10] 	NA
ftfL	K01938	6.3.4.3	NA	formate--tetrahydrofolate ligase [EC:6.3.4.3]	NA
folD	K01491	1.5.1.5;3.5.4.9	NA	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	NA
metF	K00297	1.5.1.20	NA	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] 	NA
acsE	K15023	2.1.1.258	NA	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258] 	NA
acsB	K14138	2.3.1.169	NA	acetyl-CoA synthase [EC:2.3.1.169] 	NA
acsC	K00197	2.1.1.245	NA	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] 	NA
acsD	K00194	2.1.1.245	NA	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] 	NA
pta1	K00625	2.3.1.8	NA	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8] 	NA
pta2	K13788	2.3.1.8	NA	phosphate acetyltransferase [EC:2.3.1.8]	NA
pta3	K15024	2.3.1.8	NA	putative phosphotransacetylase [EC:2.3.1.8] 	NA
ackA	K00925	2.7.2.1	NA	ackA; acetate kinase [EC:2.7.2.1] 	NA
asd2	K15038	1.2.1.76	NA	succinyl-CoA reductase [EC:1.2.1.76] 	NA
ssadh	K14465	1.1.1.-	NA	succinate semialdehyde reductase (NADPH) [EC:1.1.1.-] 	NA
4hbl1	K18861	6.2.1.40	NA	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	NA
4hbl2	K14467	6.2.1.40	NA	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	NA
4hbl3	K14466	6.2.1.40	NA	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	NA
abfD	K14534	4.2.1.120;5.3.3.3	NA	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3] 	NA
cch-hbcd	K15016	4.2.1.17;1.1.1.35	NA	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35] 	NA
atoB	K00626	2.3.1.9	NA	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	NA
pps	K01007	2.7.9.2	NA	pyruvate, water dikinase [EC:2.7.9.2] 	NA
eutK	K04025	NA	NA	ethanolamine utilization protein EutK	NA
eutL	K04026	NA	NA	ethanolamine utilization protein EutL	NA
eutM	K04027	NA	NA	ethanolamine utilization protein EutM	NA
eutN	K04028	NA	NA	ethanolamine utilization protein EutN	NA
eutS	K04031	NA	NA	ethanolamine utilization protein EutS	NA
ccmK	K08696	NA	NA	carbon dioxide concentrating mechanism protein CcmK	NA
ccmL	K08697	NA	NA	carbon dioxide concentrating mechanism protein CcmL	NA
ccmM	K08698	NA	NA	carbon dioxide concentrating mechanism protein CcmM	NA
ccmN	K08699	NA	NA	carbon dioxide concentrating mechanism protein CcmN	NA
ccmO	K08700	NA	NA	carbon dioxide concentrating mechanism protein CcmO	NA
citD	K01646	NA	NA	citrate lyase subunit gamma (acyl carrier protein)	NA
citE	K01644	4.1.3.34	NA	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	NA
citF	K01643	2.8.3.10	NA	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	NA
pyc	K01958	6.4.1.1	NA	pyruvate carboxylase [EC:6.4.1.1] 	NA
pycA	K01959	6.4.1.1	NA	pyruvate carboxylase subunit A [EC:6.4.1.1] 	NA
pycB	K01960	6.4.1.1	NA	pyruvate carboxylase subunit B [EC:6.4.1.1] 	NA
pflD	K00656	2.3.1.54	NA	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54] 	NA
hbd	K00074	1.1.1.157	NA	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	NA
crt	K01715	4.2.1.17	NA	enoyl-CoA hydratase [EC:4.2.1.17]	NA
echA	K14086	NA	NA	ech hydrogenase subunit A	NA
fadB	K01825	1.1.1.35;4.2.1.17;5.1.2.3;5.3.3.8	NA	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	NA
fadJ	K01782	1.1.1.35;4.2.1.17;5.1.2.3	NA	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	NA
bcd	K00248	1.3.8.1	NA	butyryl-CoA dehydrogenase [EC:1.3.8.1]	NA
ptb	K00634	2.3.1.19	NA	phosphate butyryltransferase [EC:2.3.1.19]	NA
buk	K00929	2.7.2.7	NA	butyrate kinase [EC:2.7.2.7]	NA
bdhAB	K00100	1.1.1.-	NA	butanol dehydrogenase [EC:1.1.1.-]	NA
atoA	K01035	2.8.3.9;2.8.3.8	NA	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]	NA
atoD	K01034	2.8.3.9;2.8.3.8	NA	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.9 2.8.3.8]	NA
ydiF	K19709	2.8.3.8	NA	acetate CoA-transferase [EC:2.8.3.8]	NA
adc	K01574	4.1.1.4	NA	acetoacetate decarboxylase [EC:4.1.1.4]	NA
isopadh	K23259	1.1.1.80	NA	isopropanol dehydrogenase (NADP+) [EC:1.1.1.80]	NA
aclSlarge	K01652	2.2.1.6	NA	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	NA
aclSsmall_1	K01653	2.2.1.6	NA	acetolactate synthase I/III small subunit [EC:2.2.1.6]	NA
aclSsmall_2	K11258	2.2.1.6	NA	acetolactate synthase II small subunit [EC:2.2.1.6]	NA
alsD	K01575	4.1.1.5	NA	acetolactate decarboxylase [EC:4.1.1.5]	NA
butB	K00004	1.1.1.303;1.1.1.-;1.1.1.4	NA	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.303 1.1.1.- 1.1.1.4]	NA
aldh	K00128	1.2.1.3	NA	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	NA
adh	K00001	1.1.1.1	NA	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1] 	NA
adhP	K13953	1.1.1.1	NA	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	NA
adhE	K04072	1.2.1.10;1.1.1.1	NA	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] 	NA
exaA	K00114	1.1.2.8	NA	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] 	NA
yiaY	K13954	1.1.1.1	NA	yiaY; alcohol dehydrogenase [EC:1.1.1.1] 	NA
pdc	K01568	4.1.1.1	NA	PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1] 	NA
ldh	K00016	1.1.1.27	NA	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27] 	NA
xpk	K01621	4.1.2.9;4.1.2.22	NA	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] 	NA
tdcD	K00932	2.7.2.15	NA	propionate kinase [EC:2.7.2.15]	NA
pduW	K19697	2.7.2.15	NA	propionate kinase [EC:2.7.2.15]	NA
gpmA	K01834	5.4.2.11	NA	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] 	NA
gpmB	K15634	5.4.2.12	NA	probable phosphoglycerate mutase [EC:5.4.2.12] 	NA
gpmI	K15633	5.4.2.12	NA	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 	NA
apgM	K15635	5.4.2.12	NA	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 	NA
eno	K01689	4.2.1.11	NA	ENO, eno; enolase [EC:4.2.1.11] 	NA
poxB	K00156	1.2.5.1	NA	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	NA
