microtrait_rule-name	microtrait_rule-boolean
arsenate->arsenite	('arrA' & 'arrB')
selenate->selenite_and	('serA' & 'serB' & 'serC')
selenate->selenite_or	('serA' | 'serB' | 'serC')
iron reduction	('mtrA' | 'mtrB' | 'mtrC' | 'mtrD' | 'mtrE' | 'mtrF' | 'omcA')
iron oxidation	(('pioA' & 'pioB' & 'pioC') | ('foxE' & 'foxY' & 'foxZ') | 'cyc2')
R5P->RuBP	('prk')
RuBP+CO2->3PG	('rbcS' | 'rbcL')
PGAP<->3PG	('pgk')
G3P<->PGAP	('gapA.NAD+' | 'gapA.NADP+')
G3P+DHAP->FBP	('aldo.classI-1' | 'aldo.classI-2' | 'aldo.classII')
FBP->F6P	('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp' | 'fbpII-sebp')
SDP->S7P	('fbpI-sebp' | 'fbpII-sebp')
X5P->R5P	('rpiA' | 'rpiB')
cc_carboxylation	('RuBP+CO2->3PG')
cc_reduction	(('PGAP<->3PG') & ('G3P<->PGAP'))
cc_regeneration	(('DHAP<->G3P') & ('G3P+DHAP->FBP') & ('FBP->F6P') & ('SDP->S7P') & ('X5P+E4P<->F6P+G3P') & ('X5P->R5P') & ('R5P->RuBP'))
cc_full	(('cc_carboxylation') & ('cc_reduction') & ('cc_regeneration'))
cc_key	(('R5P->RuBP') & ('RuBP+CO2->3PG'))
cc_CO2fixation	('RuBP+CO2->3PG')
pyruvate<->acetyl-CoA+CO2_and	('porA' & 'porB' & 'porD' & 'porG')
pyruvate<->acetyl-CoA+CO2_or	('porA' | 'porB' | 'porD' | 'porG')
citrate->oxaloacetate+acetyl-CoA_and	('aclA' & 'aclB')
citrate->oxaloacetate+acetyl-CoA_or	('aclA' | 'aclB')
PEP+HCO3->oxaloacetate	('ppc')
oxaloacetate<->malate	('mdh')
malate->fumarate	('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')
fumarate->succinate-frdNADH_and	('frd.NADHA' & 'frd.NADHB' & 'frd.NADHC' & 'frd.NADHD' & 'frd.NADHE')
fumarate->succinate-frdNADH_or	('frd.NADHA' | 'frd.NADHB' | 'frd.NADHC' | 'frd.NADHD' | 'frd.NADHE')
fumarate->succinate-sdh_and	('sdhA' & 'sdhB' & 'sdhC' & 'sdhD')
fumarate->succinate-sdh_or	('sdhA' | 'sdhB' | 'sdhC' | 'sdhD')
fumarate->succinate-frd_and	('frdA' & 'frdB' & 'frdC' & 'frdD')
fumarate->succinate-frd_or	('frdA' | 'frdB' | 'frdC' | 'frdD')
fumarate->succinate-sdhDarch_and	('sdhD_arch1' & 'sdhD_arch2')
fumarate->succinate-sdhDarch_or	('sdhD_arch1' | 'sdhD_arch2')
fumarate->succinate	(('fumarate->succinate-frdNADH_and') | ('fumarate->succinate-sdh_and') | ('fumarate->succinate-frd_or') | ('fumarate->succinate-sdhDarch_or'))
fumarate->succinate-alt	('sdhA' & 'sdhB' & 'sdhC' & ('sdhD' | 'sdhD_arch1' | 'sdhD_arch2'))
succinate<->succinyl-CoA_and	('sucC' & 'sucD')
succinate<->succinyl-CoA_or	('sucC' | 'sucD')
succinyl-CoA+CO2->alpha-ketoglutarate_and	('oforA' & 'oforB' & 'oforC' & 'oforD')
succinyl-CoA+CO2->alpha-ketoglutarate_or	('oforA' | 'oforB' | 'oforC' | 'oforD')
alpha-ketoglutarate+CO2->isocitrate	('icd')
isocitrate<->citrate	('acnA' | 'acnB')
rca_full	(('pyruvate->PEP-ppdk') & ('pyruvate<->acetyl-CoA+CO2_or') & ('citrate->oxaloacetate+acetyl-CoA_or') & ('PEP+HCO3->oxaloacetate') & ('oxaloacetate<->malate') & ('malate->fumarate') & ('fumarate->succinate') & ('succinate<->succinyl-CoA_or') & ('succinyl-CoA+CO2->alpha-ketoglutarate_or') & ('alpha-ketoglutarate+CO2->isocitrate') & ('isocitrate<->citrate'))
rca_key1	('citrate->oxaloacetate+acetyl-CoA_or')
rca_key2	(('succinyl-CoA+CO2->alpha-ketoglutarate_or') & ('citrate->oxaloacetate+acetyl-CoA_or'))
rca_CO2fixation	(('PEP+HCO3->oxaloacetate') | ('pyruvate<->acetyl-CoA+CO2_or') | ('succinyl-CoA+CO2->alpha-ketoglutarate_or') | ('succinate<->succinyl-CoA_or'))
malate->malyl-CoA_and	('smtA' & 'smtB')
malate->malyl-CoA_or	('smtA' | 'smtB')
malyl-CoA->glyoxylate+acetyl-CoA	('mcl')
acetyl-CoA+HCO3->malonyl-CoA	('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')
malonyl-CoA->malonate semialdehyde	('mcr' | 'asd1')
malonate semialdehyde->3-hydroxypropanoate	('mcr' | 'hpd')
3-hydroxypropanoate->3-hydroxypropanoyl-CoA	('hys' | 'acr-hydt')
3-hydroxypropanoyl-CoA->acryloyl-CoA	('hydt' | 'acr-hydt')
acryloyl-CoA->propionyl-CoA	('acr' | 'acr-hydt')
propionyl-CoA+HCO3->S-methylmalonyl-CoA	('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')
S-methylmalonyl-CoA<->R-methylmalonyl-CoA	('epi')
R-methylmalonyl-CoA<->succinyl-CoA	('mut')
