microtrait_substrate-name	microtrait_substrate-subclass1	microtrait_substrate-subclass2	microtrait_substrate-subclass3	microtrait_trait-name1	microtrait_trait-name2	microtrait_trait-name3
alanine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
amino acid	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
aminobenzoyl-glutamate	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
arginine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
asparagine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
aspartate	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
glutamate	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
glutamine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
glycine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
histidine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
hydroxyproline	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
lysine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
methionine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
methylmethionine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
nopaline	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
octopine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
ornithine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
phenylalanine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
proline	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
putrescine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
serine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
threonine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
tryptophan	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
tyrosine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
valine	amino acid	amino acid	amino acid	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport
benzoate	aromatic acid	aromatic acid	aromatic acid	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition:Substrate uptake:aromatic acid transport
biopolymer	biopolymer	biopolymer	biopolymer	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition:Substrate uptake:biopolymer transport
N,N'-diacetylchitobiose	carbohydrate	oligosaccharide	disaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:disaccharide transport
acetylgalactosamine	carbohydrate	amino sugar	amino sugar	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport	Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport
acetylglucosamine	carbohydrate	amino sugar	amino sugar	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport	Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport
allose	carbohydrate	monosaccharide	monosaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport
arabinogalactan	carbohydrate	polysaccharide	polysaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:polysaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:polysaccharide transport
arabinosaccharide	carbohydrate	monosaccharide	monosaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport
arabinose	carbohydrate	monosaccharide	monosaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport
arbutin	carbohydrate	carbohydrate derivative	glycoside	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate derivative transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate derivative transport:glycoside transport
cellobiose	carbohydrate	oligosaccharide	disaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:disaccharide transport
chitobiose	carbohydrate	oligosaccharide	disaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:disaccharide transport
deoxygluconate	carbohydrate	carbohydrate acid	carbohydrate acid	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate acid transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate acid transport
erythritol	carbohydrate	sugar alcohol	sugar alcohol	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:sugar alcohol transport	Resource Acquisition:Substrate uptake:carbohydrate transport:sugar alcohol transport
fructooligosaccharide	carbohydrate	oligosaccharide	oligosaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport
fructose	carbohydrate	monosaccharide	monosaccharide	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport
