microtrait_trait-name	microtrait_trait-displaynameshort	microtrait_trait-displaynamelong	microtrait_trait-strategy	microtrait_trait-type	microtrait_trait-granularity	microtrait_trait-version	microtrait_trait-displayorder
Resource Acquisition:Substrate uptake:aromatic acid transport	Aromatic acid transport	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition	count	1	production	1
Resource Acquisition:Substrate uptake:biopolymer transport	Biopolymer transport	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition	count	1	production	2
Resource Acquisition:Substrate uptake:carbohydrate transport	Carbohydrate transport	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition	count	1	production	3
Resource Acquisition:Substrate uptake:carboxylate transport	Carboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport	Resource Acquisition	count	1	production	4
Resource Acquisition:Substrate uptake:free amino acids transport	Free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition	count	1	production	5
Resource Acquisition:Substrate uptake:ion transport	Ion transport	Resource Acquisition:Substrate uptake:ion transport	Resource Acquisition	count	1	production	6
Resource Acquisition:Substrate uptake:lipid transport	Lipid transport	Resource Acquisition:Substrate uptake:lipid transport	Resource Acquisition	count	1	production	7
Resource Acquisition:Substrate uptake:N compound transport	N compound transport	Resource Acquisition:Substrate uptake:N compound transport	Resource Acquisition	count	1	production	8
Resource Acquisition:Substrate uptake:nucleic acid component transport	Nucleic acid component transport	Resource Acquisition:Substrate uptake:nucleic acid component transport	Resource Acquisition	count	1	production	9
Resource Acquisition:Substrate uptake:organophosphorus transport	Organophosphorus transport	Resource Acquisition:Substrate uptake:organophosphorus transport	Resource Acquisition	count	1	production	10
Resource Acquisition:Substrate uptake:osmolyte transport	Osmolyte transport	Resource Acquisition:Substrate uptake:osmolyte transport	Resource Acquisition	count	1	production	11
Resource Acquisition:Substrate uptake:other transport	Other transport	Resource Acquisition:Substrate uptake:other transport	Resource Acquisition	count	1	production	12
Resource Acquisition:Substrate uptake:peptide transport	Peptide transport	Resource Acquisition:Substrate uptake:peptide transport	Resource Acquisition	count	1	production	13
Resource Acquisition:Substrate uptake:S compound transport	S compound transport	Resource Acquisition:Substrate uptake:S compound transport	Resource Acquisition	count	1	production	14
Resource Acquisition:Substrate uptake:secondary metabolite transport	Secondary metabolite transport	Resource Acquisition:Substrate uptake:secondary metabolite transport	Resource Acquisition	count	1	production	15
Resource Acquisition:Substrate uptake:vitamin transport	Vitamin transport	Resource Acquisition:Substrate uptake:vitamin transport	Resource Acquisition	count	1	production	16
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization	Complex carbohydrate depolymerization	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization	Resource Acquisition	count	1	production	17
Resource Acquisition:Substrate degradation:simple compound degradation	Simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition	binary	1	production	18
Resource Acquisition:Substrate assimilation:C1 compounds	Assimilation of C1 compounds	Resource Acquisition:Substrate assimilation:C1 compounds	Resource Acquisition	binary	1	production	19
Resource Acquisition:Substrate assimilation:N compounds	Assimilation of N compounds	Resource Acquisition:Substrate assimilation:N compounds	Resource Acquisition	binary	1	production	20
Resource Acquisition:Substrate assimilation:S compounds	Assimilation of S compounds	Resource Acquisition:Substrate assimilation:S compounds	Resource Acquisition	binary	1	production	21
Resource Acquisition:Substrate assimilation:P compounds	Assimilation of P compounds	Resource Acquisition:Substrate assimilation:P compounds	Resource Acquisition	binary	1	production	22
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation	Fermentation	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation	Resource Use	binary	1	production	23
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration	Aerobic respiration	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration	Resource Use	binary	1	production	24
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration	Anaerobic respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration	Resource Use	binary	1	production	25
Resource Use:Chemotrophy:chemolithoautotrophy	Chemolithoautotrophy	Resource Use:Chemotrophy:chemolithoautotrophy	Resource Use	binary	1	production	26
Resource Use:Phototrophy:photosystem	Photosystem	Resource Use:Phototrophy:photosystem	Resource Use	binary	1	production	27
