"rule-name"	"rule-boolean"
"trehalose<->maltose"	"('treS1')"
"maltose->glucose"	"('malQ' | 'jgt')"
"trehalose degradation"	"(('treS1'))"
"maltose degradation"	"(('malQ' | 'jgt'))"
"glucose->G6P"	"('glk')"
"G6P<->F6P"	"('pgi' | 'pgi_arch' | 'pgi-tal' | 'pgi-pmi')"
"F6P->F16BP"	"('pfk' | 'pfkA' | 'pfkB' | 'pfkC')"
"F16BP->DHAP+G3P"	"('fba_2' | 'fba_3' | 'aldo.classI-1' | 'aldo.classI-2' | 'aldo.classII')"
"DHAP<->G3P"	"('tpi')"
"3PG<->2PG"	"('gpmA' | 'gpmB' | 'gpmI' | 'apgM')"
"2PG<->PEP"	"('eno')"
"PEP->pyruvate"	"('pyk')"
"oxaloacetate->PEP"	"('pckA1' | 'pckA2')"
"pyruvate->PEP-ppdk"	"('ppdK')"
"F16BP->F6P"	"('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp')"
"G6P->glucose"	"('g6p')"
"G6P->6PGL"	"('gpd')"
"6PGL->6PG"	"('pgl_1' | 'pgl_2')"
"6PG->KDPG"	"('edd')"
"KDPG->pyruvate+G3P"	"('eda' | 'dgaF' | 'kdpgA')"
"lactate->pyruvate_and"	"('lldE' & 'lldF' & 'lldG')"
"lactate->pyruvate_or"	"('lldE' | 'lldF' | 'lldG')"
"6PG->5RP"	"('pgd')"
"5RP<->X5P"	"('rpe')"
"5RP<->R5P"	"('rpiA' | 'rpiB')"
"G3P+S7P<->E4P+F6P"	"('tal')"
"X5P+E4P<->F6P+G3P"	"('tkt')"
"R5P+X5P<->G3P+S7P"	"(('tkt'))"
"glycolysis-EMP_full"	"(('glk')) & (('pgi' | 'pgi_arch' | 'pgi-tal' | 'pgi-pmi')) & (('pfk' | 'pfkA' | 'pfkB' | 'pfkC')) & (('gapA.NAD+' | 'gapA.NADP+')) & (('pgk')) & (('gpmA' | 'gpmB' | 'gpmI' | 'apgM')) & (('eno')) & (('pyk'))"
"glycolysis-ED_full"	"(('glk')) & (('gpd')) & (('pgl_1' | 'pgl_2')) & (('edd')) & (('eda' | 'dgaF' | 'kdpgA'))"
"glycolysis"	"((('glk')) & (('pgi' | 'pgi_arch' | 'pgi-tal' | 'pgi-pmi')) & (('pfk' | 'pfkA' | 'pfkB' | 'pfkC')) & (('gapA.NAD+' | 'gapA.NADP+')) & (('pgk')) & (('gpmA' | 'gpmB' | 'gpmI' | 'apgM')) & (('eno')) & (('pyk')) | (('glk')) & (('gpd')) & (('pgl_1' | 'pgl_2')) & (('edd')) & (('eda' | 'dgaF' | 'kdpgA')))"
"gluconeogenesis_full"	"(('ppdK') | ('pckA1' | 'pckA2')) & (('eno')) & (('gpmA' | 'gpmB' | 'gpmI' | 'apgM')) & (('pgk')) & (('gapA.NAD+' | 'gapA.NADP+')) & (('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp')) & (('pgi' | 'pgi_arch' | 'pgi-tal' | 'pgi-pmi')) & (('g6p'))"
"oxppp"	"(('gpd')) & (('pgl_1' | 'pgl_2')) & (('pgd'))"
"nonoxppp"	"(('rpe')) & (('rpiA' | 'rpiB')) & (('tkt')) & (('tal')) & (('tkt'))"
"ppp"	"((('gpd')) & (('pgl_1' | 'pgl_2')) & (('pgd')) & (('rpe')) & (('rpiA' | 'rpiB')) & (('tkt')) & (('tal')) & (('tkt')))"
"5RP->PRPP"	"('prs')"
"R5P->RuBP"	"('prk')"
"RuBP+CO2->3PG"	"('rbcS' | 'rbcL')"
"PGAP<->3PG"	"('pgk')"
"G3P<->PGAP"	"('gapA.NAD+' | 'gapA.NADP+')"
"G3P+DHAP->FBP"	"('aldo.classI-1' | 'aldo.classI-2' | 'aldo.classII')"
"FBP->F6P"	"('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp' | 'fbpII-sebp')"
"SDP->S7P"	"('fbpI-sebp' | 'fbpII-sebp')"
"X5P->R5P"	"('rpiA' | 'rpiB')"
"cc_carboxylation"	"(('rbcS' | 'rbcL'))"
"cc_reduction"	"((('pgk')) & (('gapA.NAD+' | 'gapA.NADP+')))"
"cc_regeneration"	"((('tpi')) & (('aldo.classI-1' | 'aldo.classI-2' | 'aldo.classII')) & (('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp' | 'fbpII-sebp')) & (('fbpI-sebp' | 'fbpII-sebp')) & (('tkt')) & (('rpiA' | 'rpiB')) & (('prk')))"
"cc_full"	"(((('rbcS' | 'rbcL'))) & (((('pgk')) & (('gapA.NAD+' | 'gapA.NADP+')))) & (((('tpi')) & (('aldo.classI-1' | 'aldo.classI-2' | 'aldo.classII')) & (('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp' | 'fbpII-sebp')) & (('fbpI-sebp' | 'fbpII-sebp')) & (('tkt')) & (('rpiA' | 'rpiB')) & (('prk')))))"
"cc_key"	"((('prk')) & (('rbcS' | 'rbcL')))"
"cc_CO2fixation"	"(('rbcS' | 'rbcL'))"
"pyruvate<->acetyl-CoA+CO2_and"	"('porA' & 'porB' & 'porD' & 'porG')"
"pyruvate<->acetyl-CoA+CO2_or"	"('porA' | 'porB' | 'porD' | 'porG')"
"citrate->oxaloacetate+acetyl-CoA_and"	"('aclA' & 'aclB')"
"citrate->oxaloacetate+acetyl-CoA_or"	"('aclA' | 'aclB')"
"PEP+HCO3->oxaloacetate"	"('ppc')"
"oxaloacetate<->malate"	"('mdh')"
"malate->fumarate"	"('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')"
"fumarate->succinate-frdNADH_and"	"('frd.NADHA' & 'frd.NADHB' & 'frd.NADHC' & 'frd.NADHD' & 'frd.NADHE')"
"fumarate->succinate-frdNADH_or"	"('frd.NADHA' | 'frd.NADHB' | 'frd.NADHC' | 'frd.NADHD' | 'frd.NADHE')"
"fumarate->succinate-sdh_and"	"('sdhA' & 'sdhB' & 'sdhC' & 'sdhD')"
"fumarate->succinate-sdh_or"	"('sdhA' | 'sdhB' | 'sdhC' | 'sdhD')"
"fumarate->succinate-frd_and"	"('frdA' & 'frdB' & 'frdC' & 'frdD')"
"fumarate->succinate-frd_or"	"('frdA' | 'frdB' | 'frdC' | 'frdD')"
"fumarate->succinate-sdhDarch_and"	"('sdhD_arch1' & 'sdhD_arch2')"
"fumarate->succinate-sdhDarch_or"	"('sdhD_arch1' | 'sdhD_arch2')"
"fumarate->succinate"	"((('frd.NADHA' & 'frd.NADHB' & 'frd.NADHC' & 'frd.NADHD' & 'frd.NADHE')) | (('sdhA' & 'sdhB' & 'sdhC' & 'sdhD')) | (('frdA' | 'frdB' | 'frdC' | 'frdD')) | (('sdhD_arch1' | 'sdhD_arch2')))"
"fumarate->succinate-alt"	"('sdhA' & 'sdhB' & 'sdhC' & ('sdhD' | 'sdhD_arch1' | 'sdhD_arch2'))"
"succinate<->succinyl-CoA_and"	"('sucC' & 'sucD')"
"succinate<->succinyl-CoA_or"	"('sucC' | 'sucD')"
"succinyl-CoA+CO2->alpha-ketoglutarate_and"	"('oforA' & 'oforB' & 'oforC' & 'oforD')"
"succinyl-CoA+CO2->alpha-ketoglutarate_or"	"('oforA' | 'oforB' | 'oforC' | 'oforD')"
"alpha-ketoglutarate+CO2->isocitrate"	"('icd')"
"isocitrate<->citrate"	"('acnA' | 'acnB')"
"rca_full"	"((('ppdK')) & (('porA' | 'porB' | 'porD' | 'porG')) & (('aclA' | 'aclB')) & (('ppc')) & (('mdh')) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (((('frd.NADHA' & 'frd.NADHB' & 'frd.NADHC' & 'frd.NADHD' & 'frd.NADHE')) | (('sdhA' & 'sdhB' & 'sdhC' & 'sdhD')) | (('frdA' | 'frdB' | 'frdC' | 'frdD')) | (('sdhD_arch1' | 'sdhD_arch2')))) & (('sucC' | 'sucD')) & (('oforA' | 'oforB' | 'oforC' | 'oforD')) & (('icd')) & (('acnA' | 'acnB')))"
"rca_key"	"((('oforA' | 'oforB' | 'oforC' | 'oforD')) & (('aclA' | 'aclB')))"
"rca_CO2fixation"	"((('ppc')) | (('porA' | 'porB' | 'porD' | 'porG')) | (('oforA' | 'oforB' | 'oforC' | 'oforD')) | (('sucC' | 'sucD')))"
"malate->malyl-CoA_and"	"('smtA' & 'smtB')"
"malate->malyl-CoA_or"	"('smtA' | 'smtB')"
"malyl-CoA->glyoxylate+acetyl-CoA"	"('mcl')"
"acetyl-CoA+HCO3->malonyl-CoA"	"('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')"
"malonyl-CoA->malonate semialdehyde"	"('mcr' | 'asd1')"
"malonate semialdehyde->3-hydroxypropanoate"	"('mcr' | 'hydg')"
"3-hydroxypropanoate->3-hydroxypropanoyl-CoA"	"('hys' | 'acr-hydt')"
"3-hydroxypropanoyl-CoA->acryloyl-CoA"	"('hydt' | 'acr-hydt')"
"acryloyl-CoA->propionyl-CoA"	"('acr' | 'acr-hydt')"
"propionyl-CoA+HCO3->S-methylmalonyl-CoA"	"('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')"
"S-methylmalonyl-CoA<->R-methylmalonyl-CoA"	"('epi')"
"R-methylmalonyl-CoA<->succinyl-CoA"	"('mut')"
"succinate->fumarate_full"	"(('sdhA' & 'sdhB' & 'sdhC' & 'sdhD') | ('frdA' & 'frdB' & 'frdC' & 'frdD') | ('sdhD_arch1' & 'sdhD_arch2'))"
"succinate->fumarate_key"	"(('sdhA' & 'sdhB' & 'sdhC') | ('frdA' & 'frdB' & 'frdC'))"
"fumarate->malate_full"	"('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')"
"propionyl-CoA+glyoxylate->beta-methylmalyl-CoA"	"('mcl')"
"beta-methylmalyl-CoA->3-methylfumaroyl-CoA"	"('mfch')"
"3-methylfumaroyl-CoA->3-methylfumaryl-CoA"	"('mct')"
"3-methylfumaryl-CoA->3S-citramalyl-CoA"	"('meh')"
"3S-citramalyl-CoA->acetyl-CoA+pyruvate"	"('mcl')"
"acetyl-CoA->propionyl-CoA"	"((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')) & (('mcr' | 'asd1')) & (('mcr' | 'hydg')) & (('hys' | 'acr-hydt')) & (('hydt' | 'acr-hydt')) & (('acr' | 'acr-hydt')))"
"propionyl-CoA->acetyl-CoA_CO2fixation"	"((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')) & (('epi')) & (('mut')) & (('smtA' | 'smtB')) & ((('sdhA' & 'sdhB' & 'sdhC') | ('frdA' & 'frdB' & 'frdC'))) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (('mcl')))"
"propionyl-CoA->acetyl-CoA_glyoxylateassim"	"((('mcl')) & (('mfch')) & (('mct')) & (('meh')) & (('mcl')))"
"3hpb1_full"	"((((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')) & (('mcr' | 'asd1')) & (('mcr' | 'hydg')) & (('hys' | 'acr-hydt')) & (('hydt' | 'acr-hydt')) & (('acr' | 'acr-hydt')))) & (((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')) & (('epi')) & (('mut')) & (('smtA' | 'smtB')) & ((('sdhA' & 'sdhB' & 'sdhC') | ('frdA' & 'frdB' & 'frdC'))) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (('mcl')))) & (((('mcl')) & (('mfch')) & (('mct')) & (('meh')) & (('mcl')))))"
"3hpb1_CO2fixation"	"((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')) & (('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')))"
"3hpb1_key"	"((('mcr' | 'asd1')) & (('mcl')))"
"CO->CO2"	"('cdhA' | 'cdhB' | 'cooF' | 'cooS')"
