substrate-class	trait-display-short	trait-type	trait-version	trait-displayorder
transporter::protein	Resource Acquisition: Transport: protein	count	production	1
transporter::peptide	Resource Acquisition: Transport: peptide	count	production	2
transporter::amino acid	Resource Acquisition: Transport: amino acid	count	production	3
transporter::carbohydrate:polysaccharide	Resource Acquisition: Transport: carbohydrate:polysaccharide	count	production	4
transporter::carbohydrate:oligosaccharide	Resource Acquisition: Transport: carbohydrate:oligosaccharide	count	production	5
transporter::carbohydrate:monosaccharide	Resource Acquisition: Transport: carbohydrate:monosaccharide	count	production	6
transporter::carbohydrate:amino sugar	Resource Acquisition: Transport: carbohydrate:amino sugar	count	production	7
transporter::carbohydrate:carbohydrate acid	Resource Acquisition: Transport: carbohydrate:carbohydrate acid	count	production	8
transporter::carbohydrate:carbohydrate derivative:glycoside	Resource Acquisition: Transport: carbohydrate:carbohydrate derivative:glycoside	count	production	9
transporter::carbohydrate:carbohydrate phosphate	Resource Acquisition: Transport: carbohydrate:carbohydrate phosphate	count	production	10
transporter::carbohydrate:sugar alcohol	Resource Acquisition: Transport: carbohydrate:sugar alcohol	count	production	11
transporter::carboxylate:tricarboxylate	Resource Acquisition: Transport: carboxylate:tricarboxylate	count	production	12
transporter::carboxylate:dicarboxylate	Resource Acquisition: Transport: carboxylate:dicarboxylate	count	production	13
transporter::carboxylate:monocarboxylate	Resource Acquisition: Transport: carboxylate:monocarboxylate	count	production	14
transporter::nitrogen compound:ammonium	Resource Acquisition: Transport: nitrogen compound:ammonium	count	production	15
transporter::nitrogen compound:nitrate	Resource Acquisition: Transport: nitrogen compound:nitrate	count	production	16
transporter::nitrogen compound:nitrite	Resource Acquisition: Transport: nitrogen compound:nitrite	count	production	17
transporter::nitrogen compound:nitrogen	Resource Acquisition: Transport: nitrogen compound:nitrogen	count	production	18
transporter::nitrogen compound:urea	Resource Acquisition: Transport: nitrogen compound:urea	count	production	19
transporter::nitrogen compound:uric acid	Resource Acquisition: Transport: nitrogen compound:uric acid	count	production	20
transporter::nitrogen compound:amide	Resource Acquisition: Transport: nitrogen compound:amide	count	production	21
transporter::sulfur compound	Resource Acquisition: Transport: sulfur compound	count	production	22
transporter::nucleic acid component:nucleobase	Resource Acquisition: Transport: nucleic acid component:nucleobase	count	production	23
transporter::nucleic acid component:nucleoside	Resource Acquisition: Transport: nucleic acid component:nucleoside	count	production	24
transporter::nucleic acid component:nucleotide	Resource Acquisition: Transport: nucleic acid component:nucleotide	count	production	25
transporter::nucleic acid component:ribonucleoside	Resource Acquisition: Transport: nucleic acid component:ribonucleoside	count	production	26
transporter::ion:inorganic	Resource Acquisition: Transport: ion:inorganic	count	production	27
transporter::ion:metal	Resource Acquisition: Transport: ion:metal	count	production	28
transporter::secondary metabolite:siderophore	Resource Acquisition: Transport: secondary metabolite:siderophore	count	production	29
transporter::lipid	Resource Acquisition: Transport: lipid	count	production	30
transporter::lipid precursor	Resource Acquisition: Transport: lipid precursor	count	production	31
transporter::lipid (cell membrane)	Resource Acquisition: Transport: lipid (cell membrane)	count	production	32
transporter::vitamin:vitamin B	Resource Acquisition: Transport: vitamin:vitamin B	count	production	33
transporter::vitamin:vitamin C	Resource Acquisition: Transport: vitamin:vitamin C	count	production	34
transporter::organophosphorus compound	Resource Acquisition: Transport: organophosphorus compound	count	production	35
transporter::aromatic acid	Resource Acquisition: Transport: aromatic acid	count	production	36
transporter::biopolymer	Resource Acquisition: Transport: biopolymer	count	production	37
transporter::drug/toxin	Resource Acquisition: Transport: drug/toxin	count	test	38
transporter::flagella	Resource Acquisition: Transport: flagella	count	test	39
transporter::other	Resource Acquisition: Transport: other	count	production	40
extracellular enzyme::complex carbohydrate:cellulose	Resource Acquisition: Extracellular Enzyme: cellulose	count	production	41
extracellular enzyme::complex carbohydrate:chitin	Resource Acquisition: Extracellular Enzyme: chitin	count	production	42
extracellular enzyme::complex carbohydrate:heteromannan	Resource Acquisition: Extracellular Enzyme: heteromannan	count	production	43
extracellular enzyme::complex carbohydrate:mixed linkage glucan	Resource Acquisition: Extracellular Enzyme: mixed linkage glucan	count	production	44
extracellular enzyme::complex carbohydrate:xylan and heteroxylan	Resource Acquisition: Extracellular Enzyme: xylan and heteroxylan	count	production	45
extracellular enzyme::complex carbohydrate:xyloglucan	Resource Acquisition: Extracellular Enzyme: xyloglucan	count	production	46
osmoprotectant::osmolyte	Stress Tolerance: Osmoprotection	count	production	47
osmoprotectant::osmolyte:choline	Stress Tolerance: Osmoprotection: choline	count	test	48
osmoprotectant::osmolyte:glycine betaine	Stress Tolerance: Osmoprotection: glycine betaine	count	test	49
osmoprotectant::osmolyte:inositol	Stress Tolerance: Osmoprotection: inositol	count	test	50
osmoprotectant::osmolyte:inositol-phosphate	Stress Tolerance: Osmoprotection: inositol-phosphate	count	test	51
osmoprotectant::osmolyte:proline betaine	Stress Tolerance: Osmoprotection: proline betaine	count	test	52
osmoprotectant::osmolyte:taurine	Stress Tolerance: Osmoprotection: taurine	count	test	53
osmoprotectant::osmolyte:trehalose	Stress Tolerance: Osmoprotection: trehalose	count	test	54
biofilm	Stress Tolerance: Biofilm Formation	count	production	55
