substrate-name	substrate-subclass1	substrate-subclass2	substrate-subclass3	substrate-class	substrate-version
alanine	amino acid			transporter::amino acid	production
amino acid	amino acid			transporter::amino acid	production
arginine	amino acid			transporter::amino acid	production
asparagine	amino acid			transporter::amino acid	production
aspartate	amino acid			transporter::amino acid	production
cysteine	amino acid			transporter::amino acid	production
glutamate	amino acid			transporter::amino acid	production
glutamine	amino acid			transporter::amino acid	production
glycine	amino acid			transporter::amino acid	production
histidine	amino acid			transporter::amino acid	production
homoserine	amino acid			transporter::amino acid	production
hydroxyproline	amino acid			transporter::amino acid	production
leucine	amino acid			transporter::amino acid	production
lysine	amino acid			transporter::amino acid	production
methionine	amino acid			transporter::amino acid	production
methylmethionine	amino acid			transporter::amino acid	production
nopaline	amino acid			transporter::amino acid	production
octopine	amino acid			transporter::amino acid	production
ornithine	amino acid			transporter::amino acid	production
phenylalanine	amino acid			transporter::amino acid	production
proline	amino acid			transporter::amino acid	production
putrescine	amino acid			transporter::amino acid	production
serine	amino acid			transporter::amino acid	production
threonine	amino acid			transporter::amino acid	production
tryptophan	amino acid			transporter::amino acid	production
tyrosine	amino acid			transporter::amino acid	production
valine	amino acid			transporter::amino acid	production
aminobenzoyl-glutamate	amino acid			transporter::amino acid	production
benzoate	aromatic acid			transporter::aromatic acid	production
biopolymer	biopolymer			transporter::biopolymer	production
capsular polysaccharide	carbohydrate	polysaccharide		transporter::carbohydrate:polysaccharide	production
acetylgalactosamine	carbohydrate	amino sugar		transporter::carbohydrate:amino sugar	production
acetylglucosamine	carbohydrate	amino sugar		transporter::carbohydrate:amino sugar	production
galactosamine	carbohydrate	amino sugar		transporter::carbohydrate:amino sugar	production
glucosamine	carbohydrate	amino sugar		transporter::carbohydrate:amino sugar	production
deoxygluconate	carbohydrate	carbohydrate acid		transporter::carbohydrate:carbohydrate acid	production
fructuronate	carbohydrate	carbohydrate acid		transporter::carbohydrate:carbohydrate acid	production
gluconate	carbohydrate	carbohydrate acid		transporter::carbohydrate:carbohydrate acid	production
oligogalacturonate	carbohydrate	carbohydrate acid		transporter::carbohydrate:carbohydrate acid	production
arbutin	carbohydrate	carbohydrate derivative	glycoside	transporter::carbohydrate:carbohydrate derivative:glycoside	production
galactoside	carbohydrate	carbohydrate derivative	glycoside	transporter::carbohydrate:carbohydrate derivative:glycoside	production
glucoside	carbohydrate	carbohydrate derivative	glycoside	transporter::carbohydrate:carbohydrate derivative:glycoside	production
glucuronide	carbohydrate	carbohydrate derivative	glycoside	transporter::carbohydrate:carbohydrate derivative:glycoside	production
oligogalacturonide	carbohydrate	carbohydrate derivative	glycoside	transporter::carbohydrate:carbohydrate derivative:glycoside	production
salicin	carbohydrate	carbohydrate derivative	glycoside	transporter::carbohydrate:carbohydrate derivative:glycoside	production
glucose-6-P	carbohydrate	carbohydrate phosphate		transporter::carbohydrate:carbohydrate phosphate	production
allose	carbohydrate	monosaccharide	monosaccharide	transporter::carbohydrate:monosaccharide	production
arabinosaccharide	carbohydrate	monosaccharide	monosaccharide	transporter::carbohydrate:monosaccharide	production
arabinose	carbohydrate	monosaccharide	monosaccharide	transporter::carbohydrate:monosaccharide	production
fructose	carbohydrate	monosaccharide	monosaccharide	transporter::carbohydrate:monosaccharide	production
galactose	carbohydrate	monosaccharide	monosaccharide	transporter::carbohydrate:monosaccharide	production
