Genome-derived features underlying ecological traits	reference: title	reference: PMID/doi
Membrane transport proteins: linked to their substrates and hierarchically organized by chemical class	The Transporter Classification Database (TCDB):	26546518
Carbohydrate active enzymes	The carbohydrate-active enzymes database (CAZy) in 2013	24270786
proteases	The Bacterial Proteasome at the Core of Diverse Degradation Pathways	31024929
proteases	AAA+ ATPases in Protein Degradation: Structures, Functions and Mechanisms	32325699
proteases	Bacterial Proteasomes: Mechanistic and Functional Insights	27974513
proteases	Bacterial Proteasomes Annual Review of Microbiology	26488274
CO2 Fixation pathways	Microbial carbon dioxide fixation: new tricks for an old game	29228194
Assimilation Pathways	The quinoprotein dehydrogenases for methanol and glucose. Archives of biochemistry and biophysics	15234264
Assimilation Pathways	Modularity of methylotrophy, revisited. Environmental microbiology 13, 2603-2622.	21443740
Assimilation Pathways	Aerobic Methylotrophic Prokaryotes. In: Rosenberg E., DeLong E.F., Lory S., Stackebrandt E., Thompson F. (eds) The Prokaryotes.	doi.org/10.1007/978-3-642-30141-4_68
Assimilation Pathways	The natural and unnatural history of methane-oxidizing bacteria	16147517
Assimilation Pathways	Methanotrophic bacteria. Microbiol Rev 60, 439 Hanson, R.S., and Hanson, T.E. (1996). 	8801441
Assimilation Pathways	Metabolic aspects of aerobic obligate methanotrophy	18395128
Fermentation Pathways	Anaerobic fermentation. In Prokaryotic Metabolism and Physiology (pp. 230-267)	"doi.org/10.1017/9781316761625.008	"
Aerobic Respiration Pathways	The oxidative pentose phosphate pathway: structure and organisation	12753973
Aerobic Respiration Pathways	Revisiting the glyoxylate cycle: alternate pathways for microbial acetate assimilation	16856935
Aerobic Respiration Pathways	Oxidation of acetate through reactions of the citric acid cycle by Geobacter sulfurreducens in pure culture and in syntrophic coculture	11131021
Aerobic Respiration Pathways	Determination of flux through the branch point of two metabolic cycles. The tricarboxylic acid cycle and the glyoxylate shunt	6378912
Aerobic Respiration Pathways	Regulation of the enzymes at the branchpoint between the citric acid cycle and the glyoxylate bypass in Escherichia coli	3333001
Aerobic Respiration Pathways	Control of flux through the citric acid cycle and the glyoxylate bypass in Escherichia coli	3332993
Aerobic Respiration Pathways	Microbial electron transport and energy conservation - the foundation for optimizing bioelectrochemical systems	26124754
Aerobic Respiration Pathways	Bacterial Electron Transport Chains Annual Review of Biochemistry Vol. 57:101-132 (Volume publication date July 1988)	3052268
Anaerobic Respiration Pathways	Anaerobic respiration with elemental sulfur and with disulfides	doi.org/10.1111/j.1574-6976.1998.tb00376.x
Anaerobic Respiration Pathways	Cell biology and molecular basis of denitrification. Microbiol. Mol. Biol. Rev. 61, 533–616.	9409151
Anaerobic Respiration Pathways	The microbial nitrogen-cycling network. Nat. Rev. Microbiol. 16, 263–276. doi: 10.1038/nrmicro.2018.9	29398704
Anaerobic Respiration Pathways	Fumarate as terminal acceptor of phosphorylative electron transport. Biochim. Biophys. Acta 505, 129–145. doi: 10.1016/0304-4173(78)90010-1	363147
Anaerobic Respiration Pathways	Characterization of the periplasmic redox network that sustains the versatile anaerobic metabolism of Shewanella oneidensis MR-1. Front. Microbiol. 6:665.	26175726
Anaerobic Respiration Pathways	Dissimilatory Fe(III) and Mn(IV) reduction. Adv. Microb. Physiol. 49, 219–286	15518832
