species	superkingdom	phylum	class	order	family
2263196004	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae
2501004205	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2501025502	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
2501025505	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae
2501533201	Bacteria	Cyanobacteria	NA	Nostocales	Tolypothrichaceae
2501533205	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae
2501651206	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae
2501651207	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae
2501651208	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae
2501651209	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
2501651210	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
2501846309	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae
2502171155	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
2502171174	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae
2502171179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
2502376840	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
2502422304	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2502422305	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2502422321	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae
2502545036	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae
2502790011	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae
2502790017	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae
2502873002	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae
2502894011	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
2502957028	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
2503044002	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA
2503113005	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA
2503242000	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae
2503242005	Bacteria	Chloroflexi	NA	NA	NA
2503242012	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
2503283005	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae
2503283009	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae
2503283017	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae
