microtrait_rule-name	microtrait_rule-type	microtrait_rule-substrate	microtrait_trait-name1	microtrait_trait-name2	microtrait_trait-name3	microtrait_trait-version
fdhC	count_by_substrate	formate				production
aaeB	count_by_substrate	hydroxybenzoate				development
aap_full	count_by_substrate	amino acid				development
aap_key	count_by_substrate	amino acid				production
abgT	count_by_substrate	aminobenzoyl-glutamate				development
acrD	count_by_substrate	drug				development
acrF	count_by_substrate	drug				development
actP	count_by_substrate	acetate				production
ade_full	count_by_substrate	drug				development
ade_partial	count_by_substrate	drug				development
adiC	count_by_substrate	arginine				production
afu_full	count_by_substrate	iron				development
afu_key	count_by_substrate	iron				production
aga_full	count_by_substrate	acetylgalactosamine				development
aga_partial	count_by_substrate	acetylgalactosamine				production
agl_full	count_by_substrate	trehalose;maltose;sucrose				development
agl_key	count_by_substrate	trehalose;maltose;sucrose				production
agu_full	count_by_substrate	digalacturonate				development
agu_key	count_by_substrate	digalacturonate				production
algE	count_by_substrate	LPS				development
allP	count_by_substrate	allantoin				production
als_full	count_by_substrate	allose				development
als_key	count_by_substrate	allose				production
ameC	count_by_substrate	lipooligosaccharide				development
amiS	count_by_substrate	amide				production
ampG	count_by_substrate	drug				development
amsL	count_by_substrate	LPS				development
amt	count_by_substrate	ammonium				production
ansP	count_by_substrate	asparagine				production
aot_full	count_by_substrate	arginine;ornithine				development
aot_key	count_by_substrate	arginine;ornithine				production
ara-1_full	count_by_substrate	arabinosaccharide				development
ara-1_key	count_by_substrate	arabinosaccharide				production
ara-2_full	count_by_substrate	arabinose				development
ara-2_key	count_by_substrate	arabinose				production
araE	count_by_substrate	arabinose				production
araJ	count_by_substrate	arabinose				production
arcD	count_by_substrate	arginine				production
arg_full	count_by_substrate	valine;alanine;histidine;arginine;lysine				development
arg_key	count_by_substrate	valine;alanine;histidine;arginine;lysine				production
argT	count_by_substrate	arginine;histidine;lysine;ornithine				production
arnE	count_by_substrate	LPS				development
arsB-1	count_by_substrate	arsenic				development
arsB-2	count_by_substrate	arsenite				development
art-1_full	count_by_substrate	arginine				development
art-1_partial	count_by_substrate	arginine				production
art-2_full	count_by_substrate	arginine;lysine;histidine				development
art-2_key	count_by_substrate	arginine;lysine;histidine				production
asc_full	count_by_substrate	cellobiose				development
asc_partial	count_by_substrate	cellobiose				production
atoE_key	count_by_substrate	fatty acid				production
att_full	count_by_substrate	mannopine				development
att_key	count_by_substrate	mannopine				production
bce_full	count_by_substrate	drug				development
bce_key	count_by_substrate	drug				development
bcr_full	count_by_substrate	drug				development
bcr_key	count_by_substrate	drug				development
benE	count_by_substrate	benzoate				production
betL	count_by_substrate	glycine betaine				production
betT	count_by_substrate	choline;glycine;proline betaine				production
bgl_full	count_by_substrate	glucoside				development
bgl_partial	count_by_substrate	glucoside				production
bglH	count_by_substrate	cellobiose;gentibiose;arbutin;salicin				production
bgt_full	count_by_substrate	arginine;lysine;histidine;glutamine				development
bgt_key	count_by_substrate	arginine;lysine;histidine;glutamine				production
bica	count_by_substrate	drug				development
bio-1_full	count_by_substrate	biotin				development
bio-1_key	count_by_substrate	biotin				production
bio-2_full	count_by_substrate	biotin				development
bio-2_key	count_by_substrate	biotin				production
blpA	count_by_substrate	bacteriocin				development
bpeEF-oprC_full	count_by_substrate	drug				development
bpeEF-oprC_partial	count_by_substrate	drug				development
bra_full	count_by_substrate	drug				development
bra_partial	count_by_substrate	drug				development
btu_full	count_by_substrate	vitamin B12				development
btu_key	count_by_substrate	vitamin B12				production
btuB	count_by_substrate	vitamin B12				production
bxl_full	count_by_substrate	xylobiose				development
bxl_key	count_by_substrate	xylobiose				production
cbi-1_full	count_by_substrate	nickel				development
cbi-1_partial	count_by_substrate	nickel				production
cbi-2_full	count_by_substrate	nickel				development
cbi-2_key	count_by_substrate	nickel				production
ccm-1_full	count_by_substrate	heme				development
ccm-1_partial	count_by_substrate	heme				development
ceb_full	count_by_substrate	cellobiose				development
ceb_key	count_by_substrate	cellobiose				production
cel_full	count_by_substrate	cellobiose				development
cel_partial	count_by_substrate	cellobiose				production
cfrA	count_by_substrate	siderophore				production
chaA	count_by_substrate	calcium				production
chi_full	count_by_substrate	chitobiose				development
chi_key	count_by_substrate	chitobiose				production
chrA	count_by_substrate	chromate				development
citA	count_by_substrate	citrate				production
citT	count_by_substrate	citrate				production
cmlA	count_by_substrate	drug;arabinose				development
cmp_full	count_by_substrate	bicarbonate				development
cmp_key	count_by_substrate	bicarbonate				production
codB	count_by_substrate	cytosine				production
corA	count_by_substrate	magnesium				production
cusA	count_by_substrate	copper;silver				development
cusC	count_by_substrate	copper;silver				development
cycA	count_by_substrate	serine;alanine;glycine				production
cyd_full	count_by_substrate	thiol				development
cyd_partial	count_by_substrate	thiol				development
cys_full	count_by_substrate	sulfate				development
cys_partial	count_by_substrate	sulfate				production
czcA	count_by_substrate	cobalt;zinc;cadmium				development
czcC	count_by_substrate	cobalt;zinc;cadmium				development
czcD	count_by_substrate	cobalt;zinc;cadmium;nickel				development
das_full	count_by_substrate	N,N'-diacetylchitobiose				development
das_key	count_by_substrate	N,N'-diacetylchitobiose				production
dct_full	count_by_substrate	dicarboxylate				development
dct_key	count_by_substrate	dicarboxylate				production
dctA	count_by_substrate	fumarate;malate;succinamide				production
dcuA	count_by_substrate	fumarate;succinate;malate				production
dcuB	count_by_substrate	fumarate;succinate;malate				production
dcuC	count_by_substrate	dicarboxylate				production
dev_full	count_by_substrate	glycolipid				development
dev_partial	count_by_substrate	glycolipid				development
dga_full	count_by_substrate	glucosaminate				development
dga_partial	count_by_substrate	glucosaminate				production
dgl_full	count_by_substrate	glucosamine				development
dgl_partial	count_by_substrate	glucosamine				production
dltB	count_by_substrate	alanine				production
dpp-1_full	count_by_substrate	dipeptide				development
dpp-1_key	count_by_substrate	dipeptide				production
dpp-2_full	count_by_substrate	dipeptide				development
dpp-2_key	count_by_substrate	dipeptide				production
dsdX	count_by_substrate	serine				production
eamA	count_by_substrate	cysteine				development
eamB	count_by_substrate	cysteine				development
ebr-1_full	count_by_substrate	drug				development
ebr-1_partial	count_by_substrate	drug				development
ebr-2	count_by_substrate	drug				development
ecfA1	count_by_substrate	biotin;riboflavin				production
eexD_key	count_by_substrate	mannuronan				development
efeB	count_by_substrate	iron				production
efeO	count_by_substrate	iron				production
emrK	count_by_substrate	drug;cysteine				development
emrY	count_by_substrate	long-chain fatty acid				development
entS	count_by_substrate	siderophore				development
eps_full	count_by_substrate	LPS				development
eps_partial	count_by_substrate	LPS				development
ery_full	count_by_substrate	erythritol				development
ery_key	count_by_substrate	erythritol				production
exb_full	count_by_substrate	biopolymer				development
exb_key	count_by_substrate	biopolymer				production
exbD_full	count_by_substrate	biopolymer				development
exbD_key	count_by_substrate	biopolymer				production
exoF	count_by_substrate	LPS				development
exoT	count_by_substrate	glycan				development
fadL	count_by_substrate	long-chain fatty acid				production
fdhC	count_by_substrate	formate				production
