microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
4hbl_arch	K18593	6.2.1.56		4-hydroxybutyrate---CoA ligase (ADP-forming) [EC:6.2.1.56] 	
4hbl1	K18861	6.2.1.40		4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	
4hbl2	K14467	6.2.1.40		4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	
4hbl3	K14466	6.2.1.40		4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	
aaeB	K03468		2.A.85.1.2	p-hydroxybenzoic acid efflux pump subunit AaeB	
aapJ	K09969		3.A.1.3.18_Q8YPM9;3.A.1.3.26_P45766;3.A.1.3.7_Q52663;3.A.1.3.8_Q52812	general L-amino acid transport system substrate-binding protein	
aapM	K09971		3.A.1.3.18_Q8YPM7;3.A.1.3.26_P45768;3.A.1.3.7_Q52665;3.A.1.3.8_Q52814	general L-amino acid transport system permease protein	
aapP	K09972	3.6.3.-	3.A.1.3.16_A3ZI83;3.A.1.3.26_P45769;3.A.1.3.7_Q52666;3.A.1.3.8_Q52815	general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]	
aapQ	K09970		3.A.1.3.18_Q8YPM8;3.A.1.3.26_P45767;3.A.1.3.7_Q52664;3.A.1.3.8_Q52813	general L-amino acid transport system permease protein	
abcB	K06147		3.A.1.106.14_P73239;3.A.1.106.15_Q0P9C4;3.A.1.21.1_Q9R7V3;3.A.1.21.1_Q9Z375	ATP-binding cassette, subfamily B, bacterial	
abfD	K14534	4.2.1.120;5.3.3.3		4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3] 	
abgT	K12942		2.A.68.1.1_P46133;2.A.68.1.3_D9QJW1;2.A.68.1.4_Q0VR69	aminobenzoyl-glutamate transport protein	
accA	K01962	6.4.1.2;2.1.3.15		acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] 	
accC	K01961	6.4.1.2;6.3.4.14		acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] 	
accD	K01963	6.4.1.2;2.1.3.15		acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15] 	
accD6	K18472	6.4.1.2;6.4.1.3;2.1.3.15		acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]	
acdA	K01905	6.2.1.13		acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13] 	
acdB	K22224	6.2.1.13		acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13] 	
aceA	K01637	4.1.3.1		isocitrate lyase [EC:4.1.3.1]	
aceB	K01638	2.3.3.9		aceB, glcB; malate synthase [EC:2.3.3.9] 	
aceE	K00163	1.2.4.1		aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1] 	
ackA	K00925	2.7.2.1		ackA; acetate kinase [EC:2.7.2.1] 	
aclA	K15230	2.3.3.8		ATP-citrate lyase alpha-subunit [EC:2.3.3.8] 	
aclB	K15231	2.3.3.8		ATP-citrate lyase beta-subunit [EC:2.3.3.8] 	
