microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
serA	K17050	1.97.1.9;1.97.1.1	NA	selenate/chlorate reductase subunit alpha [EC:1.97.1.9 1.97.1.1]	NA	1034.9	0.872	0.8095	1	1.26e-07	0.1905	1
serB	K17051	1.97.1.9;1.97.1.1	NA	selenate/chlorate reductase subunit beta [EC:1.97.1.9 1.97.1.1]	NA	525.4	0.857	0.8182	1	2.52e-07	0.1818	1
serC	K17052	1.97.1.9;1.97.1.1	NA	selenate/chlorate reductase subunit gamma [EC:1.97.1.9 1.97.1.1]	NA	133.5	0.824	0.7	1	0	0.3	1
prk	K00855	2.7.1.19	NA	phosphoribulokinase [EC:2.7.1.19] 	NA	139.7	0.998435	0.99687	1	0	0.00313	1
rbcS	K01602	4.1.1.39	NA	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39] 	NA	123.9	0.96	0.99359	1	3.02e-06	0.00641	1
rbcL	K01601	4.1.1.39	NA	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] 	NA	391.3	0.94429	0.92175	1	2.9e-06	0.07825	1
pgk	K00927	2.7.2.3	NA	phosphoglycerate kinase [EC:2.7.2.3] 	NA	100.2	0.999892	1	1	1.26e-07	0	1
gapA.NAD+	K00134	1.2.1.12	NA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	NA	63.8	0.945398	1	1	9.34e-05	0	0.999907
gapA.NADP+	K00150	1.2.1.59	NA	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59] 	NA	238.3	0.98155	0.96377	1	0	0.03623	1
aldo.classI-1	K01623	4.1.2.13	NA	fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	NA	24.2	1	1	1	0	0	1
aldo.classI-2	K11645	4.1.2.13	NA	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	NA	275.9	0.86654	0.76451	1	0	0.23549	0.999973
aldo.classII	K01624	4.1.2.13	NA	fructose-bisphosphate aldolase, class II [EC:4.1.2.13] 	NA	68.4	0.933005	1	1	8.57e-05	0	0.999914
fbpI	K03841	3.1.3.11	NA	fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	NA	51.2	0.990909	1	1	4.53e-06	0	0.999995
fbpII	K02446	3.1.3.11	NA	fructose-1,6-bisphosphatase II [EC:3.1.3.11] 	NA	442.8	0.917314	0.865054	1	4.16e-06	0.134946	0.999969
fbpIII	K04041	3.1.3.11	NA	fructose-1,6-bisphosphatase III [EC:3.1.3.11] 	NA	252.2	1	1	1	0	0	1
fbpI-sebp	K01086	3.1.3.11;3.1.3.37	NA	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 	NA	593.1	0.925	0.8611	1	0	0.1389	1
fbpII-sebp	K11532	3.1.3.11;3.1.3.37	NA	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 	NA	484.6	0.792666	0.66118	1	3.78e-07	0.33882	1
rpiA	K01807	5.3.1.6	NA	ribose 5-phosphate isomerase A [EC:5.3.1.6] 	NA	65	0.999507	0.999671	1	2.52e-07	0.000329	1
rpiB	K01808	5.3.1.6	NA	ribose 5-phosphate isomerase B [EC:5.3.1.6] 	NA	155	0.936865	0.92512	1	1.75e-05	0.074884	0.999956
tpi	K01803	5.3.1.1	NA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	NA	26	0.986561	0.999794	1	1.65e-05	0.000206	0.99998
tkt	K00615	2.2.1.1	NA	transketolase [EC:2.2.1.1] 	NA	195.2	0.904382	0.836298	1	1.42e-05	0.163702	0.99981
porA	K00169	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] 	NA	315.8	0.974288	0.99716	1	4.41e-06	0.00284	1
porB	K00170	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] 	NA	196.8	0.915849	0.99695	1	1.49e-05	0.00305	1
porD	K00171	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] 	NA	108.6	0.812834	0.87861	1	1.85e-05	0.12139	1
porG	K00172	1.2.7.1	NA	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] 	NA	135.2	0.978659	0.98015	1	1.89e-06	0.01985	1
aclA	K15230	2.3.3.8	NA	ATP-citrate lyase alpha-subunit [EC:2.3.3.8] 	NA	945.6	1	1	1	0	0	1
aclB	K15231	2.3.3.8	NA	ATP-citrate lyase beta-subunit [EC:2.3.3.8] 	NA	350.2	1	1	1	0	0	1
ppc	K01595	4.1.1.31	NA	phosphoenolpyruvate carboxylase [EC:4.1.1.31] 	NA	14	0.985128	0.974118	1	1.13e-06	0.0259	0.999991
mdh	K00024	1.1.1.37	NA	malate dehydrogenase [EC:1.1.1.37] 	NA	280.3	0.948512	0.926484	1	1.11e-05	0.073516	0.999959
fumI	K01676	4.2.1.2	NA	fumarate hydratase, class I [EC:4.2.1.2] 	NA	336.5	0.99523	0.9905	1	0	0.009501	0.999997
fumalpha	K01677	4.2.1.2	NA	fumarate hydratase subunit alpha [EC:4.2.1.2] 	NA	293.9	0.926523	0.87627	1	1.13e-06	0.12373	1
fumbeta	K01678	4.2.1.2	NA	fumarate hydratase subunit beta [EC:4.2.1.2] 	NA	206.3	0.846018	0.83421	1	9.95e-06	0.16579	1
fumII	K01679	4.2.1.2	NA	fumarate hydratase, class II [EC:4.2.1.2] 	NA	600.7	0.980602	0.964133	1	1.01e-06	0.035867	0.999983
frd.NADHA	K18556	1.3.1.6	NA	NADH-dependent fumarate reductase subunit A [EC:1.3.1.6] 	NA	1136.6	1	1	1	0	0	1
frd.NADHB	K18557	1.3.1.6	NA	NADH-dependent fumarate reductase subunit B [EC:1.3.1.6] 	NA	381	1	1	1	0	0	1
frd.NADHC	K18558	NA	NA	NADH-dependent fumarate reductase subunit C 	NA	629.6	1	1	1	0	0	1
frd.NADHD	K18559	NA	NA	NADH-dependent fumarate reductase subunit D 	NA	793.8	1	1	1	0	0	1
frd.NADHE	K18560	NA	NA	NADH-dependent fumarate reductase subunit E 	NA	274.7	1	1	1	0	0	1
sdhA	K00239	1.3.5.1;1.3.5.4	NA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] 	NA	682	0.934491	0.887201	1	5.67e-06	0.112799	0.999939
sdhB	K00240	1.3.5.1;1.3.5.4	NA	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] 	NA	203.9	0.898293	0.972786	1	9.47e-05	0.027214	0.99989
sdhC	K00241	NA	NA	succinate dehydrogenase / fumarate reductase, cytochrome b subunit 	NA	41.4	0.897695	0.895115	1	4.35e-05	0.1049	0.999911
sdhD	K00242	NA	NA	succinate dehydrogenase / fumarate reductase, membrane anchor subunit 	NA	59.5	0.982738	0.969216	1	8.82e-07	0.03078	0.99999
frdA	K00244	1.3.5.4	NA	fumarate reductase flavoprotein subunit [EC:1.3.5.4] 	NA	513.5	0.837409	0.735772	1	4.66e-06	0.26423	0.999938
frdB	K00245	1.3.5.4	NA	fumarate reductase iron-sulfur subunit [EC:1.3.5.4] 	NA	271	0.965725	0.96981	1	4.03e-06	0.03019	0.999993
