microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
K00001	302.0	0.170869	0.178179	1.000	1.46e-04	0.8218	0.99972
K00004	378.9	0.929235	0.86898	1.000	1.26e-07	0.13102	1.00e+00
K00005	317.0	0.94574	0.959119	1.000	1.11e-05	0.040881	0.99998
K00016	309.6	0.947623	0.906526	1.000	2.02e-06	0.09347	0.999970
K00018	323.7	0.989535	0.98041	1.000	1.26e-07	0.01959	0.999998
K00023	319.0	0.974694	0.958266	1.000	1.26e-06	0.041734	0.999992
K00024	280.3	0.948512	0.926484	1.000	1.11e-05	0.073516	0.999959
K00031	377.0	0.79385	0.66651	1.000	6.68e-06	0.333493	0.999818
K00033	160.5	0.998668	0.997604	1.000	1.26e-07	0.002396	0.999999
K00036	49.5	1.000000	1.000000	1	0.00e+00	0.000000	1.00000
K00040	430.2	0.792580	0.937002	1	6.75e-05	0.06300	0.999923
K00041	256.4	0.99330	0.98815	1	1.26e-07	0.01185	1.0e+00
K00074	361.6	0.826375	0.749739	1.000	3.12e-05	0.250261	0.999848
K00086	550.5	8.56e-01	0.8737	1.000	2.01e-06	0.1263	0.999996
K00100	539.9	7.57e-01	0.6310	1.000	3.78e-07	0.3690	1.00e+00
K00108	137.1	0.981398	0.997826	1.000	1.03e-05	0.002174	0.99999
K00114	717.0	0.785455	0.67220	1	2.39e-06	0.32780	1.00e+00
K00125	230.2	1.00000	1.0000	1.000	0.00e+00	0.0000	1.000000
K00128	446.8	0.431757	0.932481	0.998	1.58e-03	0.067519	0.99838
K00130	646.9	0.70621	0.68844	1.000	4.83e-05	0.31156	0.999894
K00134	63.8	0.945398	1.000000	1.000	9.34e-05	0.000000	0.999907
K00147	100.5	0.999861	0.999721	1.000	0.00e+00	0.000279	1.000000
K00148	342.3	0.991753	0.98768	1.000	2.52e-07	0.01232	1.00e+00
K00150	238.3	0.981550	0.96377	1.000	0.00e+00	0.03623	1.00e+00
K00156	682.4	0.969236	0.941572	1.000	2.52e-07	0.058428	0.999989
K00164	84.0	0.958469	0.999643	1.000	3.05e-05	0.000357	0.999969
K00169	315.8	0.974288	0.99716	1.000	4.41e-06	0.00284	1.00e+00
K00170	196.8	0.915849	0.99695	1.000	1.49e-05	0.00305	1.00e+00
K00171	108.6	0.812834	0.87861	1.000	1.85e-05	0.12139	1.00e+00
K00172	135.2	0.978659	0.98015	1.000	1.89e-06	0.01985	1.00e+00
K00174	147.0	0.980829	0.999472	1.000	9.19e-06	0.000528	0.999991
K00175	240.5	0.974974	0.975992	1.000	6.30e-06	0.024008	0.999988
K00176	69.7	0.805210	0.94444	1.000	3.64e-05	0.05556	1.00e+00
K00177	130.5	0.95530	0.99336	1.000	8.18e-06	0.00664	1.00e+00
K00192	165.7	0.968610	0.9391	1.000	0.00e+00	0.0609	1.00e+00
K00193	491.9	9.59e-01	0.94545	1	3.78e-07	0.05455	1.00e+00
K00194	97.4	9.81e-01	1.00000	1	8.81e-07	0.00000	1.00e+00
K00195	113.9	1.00e+00	1.00	1	0.00e+00	0.00	1.00e+00
K00196	148.3	8.59e-01	0.82253	1.000	3.40e-06	0.17747	1.00e+00
K00197	119.9	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K00198	167.2	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K00200	113.4	1.000000	1.00000	1.000	0.00e+00	0.00000	1.00e+00
K00201	108.7	1.00e+00	1.00000	1.000	0.00e+00	0.00000	1.00e+00
K00202	107.5	0.994941	0.98993	1	0.00e+00	0.01007	1.00e+00
K00203	121.0	9.69e-01	0.9611	1.000	5.04e-07	0.03889	1.00e+00
K00204	182.0	9.58e-01	0.92	1.000	0.00e+00	0.08	1.00e+00
K00205	234.7	0.974843	0.95092	1.000	0.00e+00	0.04908	1.00e+00
K00239	682.0	0.934491	0.887201	1.000	5.67e-06	0.112799	0.999939
K00240	203.9	0.898293	0.972786	1.000	9.47e-05	0.027214	0.99989
K00241	41.4	0.897695	0.895115	1	4.35e-05	0.1049	0.999911
K00242	59.5	0.982738	0.969216	1	8.82e-07	0.03078	0.99999
K00244	513.5	0.837409	0.735772	1.000	4.66e-06	0.26423	0.999938
K00245	271.0	0.965725	0.96981	1.000	4.03e-06	0.03019	0.999993
K00246	43.4	0.976176	0.95460	1	1.26e-07	0.04540	0.999995
K00247	51.7	0.999146	1.00000	1	1.26e-07	0.00000	1.00e+00
K00248	579.1	0.746556	0.62587	1.000	2.77e-06	0.37413	1.00e+00
K00260	616.4	0.976264	0.95556	1.000	1.26e-07	0.04444	1.00e+00
K00261	334.1	0.78687	0.960336	1.000	7.93e-05	0.039664	0.999914
K00262	419.1	0.979219	0.973218	1.000	4.03e-06	0.026782	0.999989
K00265	210.9	0.953720	0.982398	1	2.67e-05	0.017602	0.999967
K00266	499.7	0.961720	0.934522	1.000	4.03e-06	0.065478	0.999966
K00284	2374.3	4.59e-01	0.34247	1.000	4.15e-06	0.65753	1.00e+00
K00286	64.4	0.977839	0.998707	1.000	2.57e-05	0.001293	0.999974
K00297	20.8	0.975104	0.998347	1	2.25e-05	0.00165	0.999977
K00300	354.8	1.00e+00	1.0000	1.000	0.00e+00	0.0000	1.00e+00
K00317	596.8	1.00e+00	1.0000	1.000	0.00e+00	0.0000	1.00e+00
K00319	96.2	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00320	238.9	9.83e-01	0.96629	1.000	0.00e+00	0.03371	1.00e+00
K00330	21.1	0.975989	1.000000	1	1.83e-05	0.000000	0.999982
K00331	177.8	0.969211	0.991290	1	2.04e-05	0.008710	0.999976
K00332	171.9	0.826640	0.759458	1	2.10e-05	0.240542	0.999914
K00333	499.6	0.902804	0.873418	1	1.71e-05	0.126582	0.999948
K00334	141.2	0.911290	0.877205	1	1.71e-05	0.1228	0.999939
K00335	512.5	0.920836	0.909501	1	2.39e-05	0.0905	0.999943
K00336	544.3	0.860614	0.774453	1.000	8.31e-06	0.22555	0.999918
K00337	137.1	0.975319	0.99703	1	1.81e-05	0.002968	0.999981
K00338	145.3	0.937345	0.906229	1.000	1.01e-05	0.093771	0.999955
K00339	39.7	0.967391	0.991989	1	2.13e-05	0.008011	0.999976
K00340	60.1	0.960166	0.988988	1	2.52e-05	0.01101	0.999971
K00341	432.9	0.957954	0.974171	1.000	2.15e-05	0.025829	0.999969
K00342	324.1	0.916255	0.961414	1.000	5.33e-05	0.038586	0.999932
K00343	314.1	0.953591	0.966026	1.000	2.20e-05	0.033974	0.999966
K00346	131.1	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K00347	255.5	0.99098	0.98683	1	5.04e-07	0.01317	0.999998
K00348	108.2	0.997644	0.99882	1	3.78e-07	0.00118	0.999999
K00349	226.0	0.999399	0.99880	1	0.00e+00	0.00120	1.000000
K00350	253.5	0.99771	0.99543	1	0.00e+00	0.00457	1.00000
K00351	239.2	0.997611	0.99642	1.000	1.26e-07	0.00358	0.999999
K00360	465.6	0.664789	0.92913	1.000	1.38e-05	0.07087	0.999985
K00362	412.0	0.967004	0.951927	1.000	4.91e-06	0.048073	0.999981
K00363	93.2	0.940408	0.961518	1.000	1.96e-05	0.038482	0.999971
K00366	562.8	0.850331	0.75176	1.000	8.81e-07	0.24824	1.00e+00
K00367	1061.1	9.45e-01	0.89583	1.000	0.00e+00	0.10417	1.00e+00
K00368	212.7	0.975923	0.95298	1	0.00e+00	0.0470	1.00e+00
K00370	320.2	0.983607	0.984556	1.000	3.40e-06	0.01544	0.999994
K00371	315.4	0.990691	0.994660	1.000	2.52e-06	0.005340	0.999996
K00372	916.9	0.907291	0.909747	1.000	1.33e-05	0.090253	0.99997
K00374	37.9	0.985163	1.000000	1	5.67e-06	0.000000	0.999994
K00376	172.8	1.00000	1.00000	1	0.00e+00	0.00000	1.00e+00
K00380	176.6	0.926187	0.970029	1.000	3.30e-05	0.02997	0.999959
K00381	495.2	0.982681	0.96849	1.000	6.30e-07	0.031513	0.99999
K00382	425.1	0.914088	0.894081	1.000	6.35e-05	0.105919	0.99983
K00385	383.4	1.00e+00	1.00000	1.000	0.00e+00	0.0000	1.00e+00
K00386	73.5	9.57e-01	0.9655	1	3.78e-07	0.0345	1.0e+00
K00390	105.7	0.955034	0.939951	1.000	1.03e-05	0.060049	0.999968
K00392	532.7	0.853782	0.75595	1.000	1.26e-06	0.24405	1.00e+00
K00394	302.1	9.97e-01	0.99419	1.000	0.00e+00	0.00581	1.00e+00
K00395	103.4	9.10e-01	0.95294	1.000	3.02e-06	0.04706	1.00e+00
K00399	543.9	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K00400	502.6	1.00e+00	1.00000	1.000	0.00e+00	0.00000	1.00e+00
K00401	265.3	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K00402	307.4	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K00404	106.2	0.92816	0.99064	1	2.52e-05	0.00936	0.999973
K00405	60.3	0.928367	1.000000	1	2.52e-05	0.000000	0.999975
K00406	101.9	0.970461	0.950600	1.000	1.51e-06	0.049400	0.999990
K00410	772.3	9.57e-01	0.9167	1	0.00e+00	0.0833	1.00e+00
K00412	263.7	0.972560	0.964187	1	3.40e-06	0.035813	0.999990
K00425	21.3	0.999576	0.999153	1	0.00e+00	0.000847	0.999999
K00426	25.7	0.999362	0.999149	1	2.52e-07	0.000851	0.999999
K00427	935.2	9.83e-01	0.97222	1	2.52e-07	0.02778	1.00e+00
K00514	499.4	1.00e+00	1.00000	1.000	0.00e+00	0.00000	1.00e+00
K00531	60.1	9.61e-01	1.0000	1	7.55e-07	0.0000	1.00e+00
K00537	95.1	0.971141	0.95712	1	6.05e-06	0.042882	0.999975
K00574	118.6	0.996872	0.995142	1.000	7.56e-07	0.004858	0.999997
K00577	86.0	9.97e-01	1.00000	1	1.26e-07	0.00000	1.00e+00
K00578	95.4	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00579	212.8	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00580	290.6	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00581	396.6	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00582	65.1	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00583	81.5	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K00584	134.0	1.00000	1.00000	1	0.00e+00	0.00000	1e+00
K00600	60.8	0.998710	0.999815	1.000	1.64e-06	0.000185	0.999998
K00615	195.2	0.904382	0.836298	1.000	1.42e-05	0.163702	0.99981
K00616	119.5	0.970769	0.974195	1	1.88e-05	0.025805	0.999967
K00625	416.7	0.69383	0.549478	1.000	7.05e-06	0.450522	0.999901
K00626	118.8	0.780136	8.78e-01	0.999	5.04e-04	0.1220	0.99933
K00634	384.2	7.09e-01	0.60154	1.000	4.66e-06	0.39846	0.999976
K00656	102.1	0.960407	0.991004	1	2.44e-05	0.008996	0.999973
K00658	487.9	0.920830	0.879072	1.000	1.30e-05	0.120928	0.999935
K00672	299.0	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K00681	39.6	0.974448	0.999791	1	3.15e-05	0.000209	0.999968
K00697	47.7	0.953004	1.000000	1	1.99e-05	0.000000	0.999980
K00705	63.1	0.993939	0.997972	1	3.15e-06	0.00203	1.00000
K00764	149.7	0.998325	0.996893	1.000	1.26e-07	0.003107	0.999998
K00782	81.0	0.990105	0.984261	1	8.82e-07	0.015739	0.999996
K00812	444.1	0.792079	0.709534	1.000	3.26e-05	0.290466	0.999852
K00813	529.0	0.829077	0.81154	1.000	1.44e-05	0.18846	1.00e+00
K00819	470.3	0.902970	0.823848	1.000	1.26e-07	0.176152	0.999975
K00820	146.7	0.98439	0.97101	1.000	1.26e-06	0.02899	0.999978
